ID	DOCULECT	ISO_CODE	CONCEPT	CONCEPTICON_ID	FORM	TOKENS	ASJP	DOLGO	SCA	COGNATE_CLASS	COGID	INFERRED_CLASS	EDITID
62621	Ivasay	?	house		vahay	v a h ay	W V H V	v a h a	B A H A	14	429	house:1689	1689
63399	Katingan	?	house		humaʔ	h u m a ʔ	H V M V H	h u m a 7	H Y M A H	1	428	house:1687	1687
5341	Lakalai	?	house		luma	l u m a	R V M V	l u m a	L Y M A	1	428	house:1687	1687
63757	Luangiua	?	house		hale	h a l e	H V R V	h a l e	H A L E	14	429	house:1686	1686
57966	MalayBahasaIndonesia	?	house		rumah	r u m a h	R V M V H	r u m a h	R Y M A H	1	428	house:1687	1687
60533	Maori	?	house		whare	w h a r e	W H V R V	w h a r e	W H A R E	14	429	house:1686	1686
6598	Marquesan	?	house		fae	f ae	P V	f a	B A	14	429	house:1708	1708
6599	Marquesan	?	house		aika	ai k a	V K V	a k a	A K A	6	430	house:1731	1731
50585	Minangkabau	?	house		rumah	r u m a h	R V M V H	r u m a h	R Y M A H	1	428	house:1687	1687
9209	NakanaiBilekiDialect	?	house		luma	l u m a	R V M V	l u m a	L Y M A	1	428	house:1687	1687
13205	Niue	?	house		fale	f a l e	P V R V	f a l e	B A L E	14	429	house:1686	1686
13206	Niue	?	house		kaina	k ai n a	K V N V	k a n a	K A N A	6	430	house:1731	1731
56000	Ogan	?	house		xumah	x u m a h	K V M V H	x u m a h	G Y M A H	1	428	house:1687	1687
33749	Penrhyn	?	house		hare	h a r e	H V R V	h a r e	H A R E	14	429	house:1686	1686
33750	Penrhyn	?	house		kaaiŋa	k aai ŋ a	K V N V	k a N a	K A N A	6	430	house:1731	1731
12849	RapanuiEasterIsland	?	house		hare	h a r e	H V R V	h a r e	H A R E	14	429	house:1686	1686
39509	Rarotongan	?	house		are	a r e	V R V	a r e	A R E	14	429	house:1686	1686
53038	Rennellese	?	house		hage	h a g e	H V K V	h a g e	H A K E	14	429	house:1686	1686
53454	Rurutuan	?	house		ʔare	ʔ a r e	H V R V	7 a r e	H A R E	14	429	house:1686	1686
4514	Samoan	?	house		fale	f a l e	P V R V	f a l e	B A L E	14	429	house:1686	1686
21159	Sikaiana	?	house		hale	h a l e	H V R V	h a l e	H A L E	14	429	house:1686	1686
58332	Surigaonon	?	house		bayay	b ayay	P V	b a	P A	14	429	house:1720	1720
63908	Tagalog	?	house		bhay	b h ay	P H V	b h a	P H A	14	429	house:1689	1689
61288	TagalogAnthonydelaPaz	?	house		bahay	b a h ay	P V H V	b a h a	P A H A	14	429	house:1689	1689
60897	TahitianModern	?	house		fare	f a r e	P V R V	f a r e	B A R E	14	429	house:1686	1686
24457	Tikopia	?	house		fare	f a r e	P V R V	f a r e	B A R E	14	429	house:1686	1686
38131	Tongan	?	house		fale	f a l e	P V R V	f a l e	B A L E	14	429	house:1686	1686
29908	Tuamotu	?	house		hare	h a r e	H V R V	h a r e	H A R E	14	429	house:1686	1686
16534	UveaEast	?	house		fale	f a l e	P V R V	f a l e	B A L E	14	429	house:1686	1686
31124	WesternBukidnonManobo	?	house		baley	b a l ey	P V R V	b a l e	P A L E	14	429	house:1689	1689
2278	Woleai	?	house		imwa	i m w a	V M W V	i m w a	I M W A	1	428	house:1687	1687
61021	Yami	?	house		vahay	v a h ay	W V H V	v a h a	B A H A	14	429	house:1689	1689
22156	Anuta	?	how?		pepeeki	p e p ee k i	P V P V K V	p e p e k i	P E P E K I	11	431	how?:1732	1732
29562	Carolinian	?	how?		efaisul	e f ai s u l	V P V S V R	e f a s u l	E B A S Y L	12	432	how?:1733	1733
63269	Cebuano	?	how?		unsaon	u n s ao n	V N S V N	u n s a n	Y N S A N	32	437	how?:1734	1734
42808	Chuukese	?	how?		ifa	i f a	V P V	i f a	I B A	12	432	how?:1735	1735
16151	ChuukeseAKATrukese	?	how?		ifa	i f a	V P V	i f a	I B A	12	432	how?:1735	1735
8459	EastSumbaneseKamberaSoutherndialect	?	how?		nggikina	n gg i k i n a	N K V K V N V	n g i k i n a	N K I K I N A	5	438	how?:1737	1737
42737	FutunaEast	?	how?		fefeaki	f e f ea k i	P V P V K V	f e f e k i	B E B E K I	11	431	how?:1738	1738
7083	Imorod	?	how?		pira	p i r a	P V R V	p i r a	P I R A	21	434	how?:1735	1735
38098	Indonesian	?	how?		bagaimana	b a g ai m a n a	P V K V M V N V	b a g a m a n a	P A K A M A N A	23	435	how?:1740	1740
31196	Iraralay	?	how?		pira	p i r a	P V R V	p i r a	P I R A	21	434	how?:1735	1735
20476	Isamorong	?	how?		papira	p a p i r a	P V P V R V	p a p i r a	P A P I R A	21	434	how?:1735	1735
33121	Itbayat	?	how?		pirah	p i r a h	P V R V H	p i r a h	P I R A H	21	434	how?:1735	1735
64237	Itbayaten	?	how?		pirah	p i r a h	P V R V H	p i r a h	P I R A H	21	434	how?:1735	1735
29758	Ivasay	?	how?		pira	p i r a	P V R V	p i r a	P I R A	21	434	how?:1735	1735
25356	Lakalai	?	how?		mave	m a v e	M V W V	m a v e	M A B E	17	433	how?:1740	1740
4681	Luangiua	?	how?		pehee	p e h ee	P V H V	p e h e	P E H E	11	431	how?:1732	1732
18519	MalayBahasaIndonesia	?	how?		bagaimana	b a g ai m a n a	P V K V M V N V	b a g a m a n a	P A K A M A N A	23	435	how?:1740	1740
34277	Maori	?	how?		peehea	p ee h ea	P V H V	p e h e	P E H E	11	431	how?:1732	1732
60686	Marquesan	?	how?		peehea	p ee h ea	P V H V	p e h e	P E H E	11	431	how?:1732	1732
7244	NakanaiBilekiDialect	?	how?		mave	m a v e	M V W V	m a v e	M A B E	17	433	how?:1740	1740
40057	Niue	?	how?		pehe	p e h e	P V H V	p e h e	P E H E	11	431	how?:1732	1732
49923	Ogan	?	how?		maʔmanə	m a ʔ m a n ə	M V H M V N V	m a 7 m a n I	M A H M A N E	23	435	how?:1740	1740
22334	Penrhyn	?	how?		peehea	p ee h ea	P V H V	p e h e	P E H E	11	431	how?:1732	1732
58604	RapanuiEasterIsland	?	how?		pehe	p e h e	P V H V	p e h e	P E H E	11	431	how?:1732	1732
10521	Rarotongan	?	how?		peea	p eea	P V	p e	P E	11	431	how?:1756	1756
57642	Rennellese	?	how?		pehea	p e h ea	P V H V	p e h e	P E H E	11	431	how?:1732	1732
25055	Rurutuan	?	how?		naaʔea	n aa ʔ ea	N V H V	n a 7 e	N A H E	11	431	how?:1758	1758
58666	Samoan	?	how?		faʔapefea	f a ʔ a p e f ea	P V H V P V P V	f a 7 a p e f e	B A H A P E B E	11	431	how?:1738	1738
15599	Sikaiana	?	how?		pehea	p e h ea	P V H V	p e h e	P E H E	11	431	how?:1732	1732
45017	Surigaonon	?	how?		unsaon	u n s ao n	V N S V N	u n s a n	Y N S A N	32	437	how?:1734	1734
60409	Tagalog	?	how?		paano	p aa n o	P V N V	p a n o	P A N U	29	436	how?:1756	1756
23963	TagalogAnthonydelaPaz	?	how?		paano	p aa n o	P V N V	p a n o	P A N U	29	436	how?:1756	1756
52217	TahitianModern	?	how?		naafea	n aa f ea	N V P V	n a f e	N A B E	11	431	how?:1758	1758
33168	Tikopia	?	how?		fefea	f e f ea	P V P V	f e f e	B E B E	11	431	how?:1738	1738
17711	Tongan	?	how?		fefe	f e f e	P V P V	f e f e	B E B E	11	431	how?:1738	1738
19430	UveaEast	?	how?		feafeai	f ea f eai	P V P V	f e f e	B E B E	11	431	how?:1738	1738
39231	Woleai	?	how?		ifaa	i f aa	V P V	i f a	I B A	12	432	how?:1735	1735
20477	Yami	?	how?		apira	a p i r a	V P V R V	a p i r a	A P I R A	21	434	how?:1735	1735
57289	BanjareseMalay	?	husband		laki	l a k i	R V K V	l a k i	L A K I	28	444	husband:1759	1759
2536	Cebuano	?	husband		bana	b a n a	P V N V	b a n a	P A N A	1	439	husband:1760	1760
37988	ChuukeseAKATrukese	?	husband		pwunuwa	p w u n u w a	P W V N V W V	p w u n u w a	P W Y N Y W A	16	442	husband:1761	1761
54220	DayakNgaju	?	husband		bana	b a n a	P V N V	b a n a	P A N A	1	439	husband:1760	1760
9168	EastSumbaneseKamberaSoutherndialect	?	husband		lai	l ai	R V	l a	L A	6	448	husband:1763	1763
46390	EastSumbaneseUmbuRatuNggaidialect	?	husband		layu	l ayu	R V	l a	L A	6	448	husband:1763	1763
60351	FutunaEast	?	husband		aavaga	aa v a g a	V W V K V	a v a g a	A B A K A	13	440	husband:1760	1760
31698	Imorod	?	husband		kataned	k a t a n e d	K V T V N V T	k a t a n e d	K A T A N E T	30	445	husband:1766	1766
2467	Indonesian	?	husband		suami	s ua m i	S V M V	s u m i	S Y M I	42	447	husband:1767	1767
30118	Iraralay	?	husband		kahakey	k a h a k ey	K V H V K V	k a h a k e	K A H A K E	30	445	husband:1759	1759
53403	Itbayat	?	husband		xakay	x a k ay	K V K V	x a k a	G A K A	30	445	husband:1759	1759
47395	Katingan	?	husband		banai	b a n ai	P V N V	b a n a	P A N A	1	439	husband:1760	1760
6869	Lakalai	?	husband		harua	h a r ua	H V R V	h a r u	H A R Y	2	443	husband:1759	1759
53958	MalayBahasaIndonesia	?	husband		suami	s ua m i	S V M V	s u m i	S Y M I	42	447	husband:1767	1767
48478	Maori	?	husband		taane	t aa n e	T V N V	t a n e	T A N E	14	441	husband:1766	1766
45732	Marquesan	?	husband		hahana	h a h a n a	H V H V N V	h a h a n a	H A H A N A	13	440	husband:1759	1759
46402	Minangkabau	?	husband		laki	l a k i	R V K V	l a k i	L A K I	28	444	husband:1759	1759
42347	NakanaiBilekiDialect	?	husband		harua	h a r ua	H V R V	h a r u	H A R Y	2	443	husband:1759	1759
4902	Niue	?	husband		taane	t aa n e	T V N V	t a n e	T A N E	14	441	husband:1766	1766
1725	Ogan	?	husband		laki	l a k i	R V K V	l a k i	L A K I	28	444	husband:1759	1759
15649	Penrhyn	?	husband		taane	t aa n e	T V N V	t a n e	T A N E	14	441	husband:1766	1766
65118	Rarotongan	?	husband		taane	t aa n e	T V N V	t a n e	T A N E	14	441	husband:1766	1766
54511	Rennellese	?	husband		matua	m a t ua	M V T V	m a t u	M A T Y	36	446	husband:1759	1759
65884	Rurutuan	?	husband		taane	t aa n e	T V N V	t a n e	T A N E	14	441	husband:1766	1766
44776	Samoan	?	husband		tane	t a n e	T V N V	t a n e	T A N E	14	441	husband:1766	1766
20478	Surigaonon	?	husband		bana	b a n a	P V N V	b a n a	P A N A	1	439	husband:1760	1760
10287	TahitianModern	?	husband		taane	t aa n e	T V N V	t a n e	T A N E	14	441	husband:1766	1766
13127	Tuamotu	?	husband		taane	t aa n e	T V N V	t a n e	T A N E	14	441	husband:1766	1766
18041	WesternBukidnonManobo	?	husband		esawa	e s a w a	V S V W V	e s a w a	E S A W A	2	443	husband:1760	1760
66714	Yami	?	husband		mehakay	m e h a k ay	M V H V K V	m e h a k a	M E H A K A	30	445	husband:1759	1759
17754	Anuta	?	i		kau	k au	K V	k a	K A	1	449	i:1768	1768
29220	BanjareseMalay	?	i		aku	a k u	V K V	a k u	A K Y	1	449	i:1768	1768
42885	Carolinian	?	i		ngaang	n g aa n g	N K V N K	n g a n g	N K A N K	12	451	i:1770	1770
62332	Cebuano	?	i		ako	a k o	V K V	a k o	A K U	1	449	i:1768	1768
47952	Chuukese	?	i		ngaang	n g aa n g	N K V N K	n g a n g	N K A N K	12	451	i:1770	1770
8953	ChuukeseAKATrukese	?	i		ŋaŋa	ŋ a ŋ a	N V N V	N a N a	N A N A	12	451	i:1773	1773
65191	DayakNgaju	?	i		ako	a k o	V K V	a k o	A K U	1	449	i:1768	1768
48515	EastSumbaneseKamberaSoutherndialect	?	i		nyungga	n yu n gg a	N V N K V	n i n g a	N Y N K A	3	452	i:1775	1775
27822	FutunaEast	?	i		ku	k u	K V	k u	K Y	1	449	i:1768	1768
8081	Indonesian	?	i		aku	a k u	V K V	a k u	A K Y	1	449	i:1768	1768
8082	Indonesian	?	i		saya	s aya	S V	s a	S A	11	450	i:1781	1781
38690	Itbayaten	?	i		yakɨn	ya k ɨ n	V K V N	i k I n	Y K I N	1	449	i:1768	1768
698	Katingan	?	i		yakuʔ	ya k u ʔ	V K V H	i k u 7	Y K Y H	1	449	i:1768	1768
41466	Luangiua	?	i		n/au	n au	N V	n a	N A	1	449	i:1780	1780
866	MalayBahasaIndonesia	?	i		saya	s aya	S V	s a	S A	11	450	i:1781	1781
59250	Maori	?	i		au	au	V	a	A	1	449	i:1780	1780
42263	Marquesan	?	i		=u	u	V	u	Y	1	449	i:1783	1783
33166	Minangkabau	?	i		ambo	a m b o	V M P V	a m b o	A M P U	9	453	i:1784	1784
8545	NakanaiBilekiDialect	?	i		e|au	e|au	V	e	E	1	449	i:1785	1785
26728	Niue	?	i		ku	k u	K V	k u	K Y	1	449	i:1768	1768
53706	Ogan	?	i		aku	a k u	V K V	a k u	A K Y	1	449	i:1768	1768
29993	Penrhyn	?	i		au	au	V	a	A	1	449	i:1780	1780
17123	RapanuiEasterIsland	?	i		au	au	V	a	A	1	449	i:1780	1780
52162	Rarotongan	?	i		ku	k u	K V	k u	K Y	1	449	i:1768	1768
48832	Rennellese	?	i		ku	k u	K V	k u	K Y	1	449	i:1768	1768
4959	Rurutuan	?	i		au	au	V	a	A	1	449	i:1780	1780
61106	Samoan	?	i		aʔu	a ʔ u	V H V	a 7 u	A H Y	1	449	i:1768	1768
36971	Sikaiana	?	i		n/au/	n au	N V	n a	N A	1	449	i:1780	1780
58888	Surigaonon	?	i		ako	a k o	V K V	a k o	A K U	1	449	i:1768	1768
3591	Tagalog	?	i		ako	a k o	V K V	a k o	A K U	1	449	i:1768	1768
26229	TagalogAnthonydelaPaz	?	i		ako	a k o	V K V	a k o	A K U	1	449	i:1768	1768
51009	TahitianModern	?	i		vau	v au	W V	v a	B A	1	449	i:1780	1780
58029	Tikopia	?	i		ku	k u	K V	k u	K Y	1	449	i:1768	1768
32662	Tongan	?	i		ou	ou	V	o	U	1	449	i:1800	1800
11606	Tuamotu	?	i		ku	k u	K V	k u	K Y	1	449	i:1768	1768
37712	UveaEast	?	i		koau	k oau	K V	k o	K U	1	449	i:1768	1768
11996	WesternBukidnonManobo	?	i		siqak	s i q a k	S V K V K	s i q a k	S I K A K	1	449	i:1803	1803
45872	Woleai	?	i		gaangɪʊ	g aa n g ɪʊ	K V N K V	g a n g i	K A N K I	12	451	i:1770	1770
14087	Yami	?	i		aku	a k u	V K V	a k u	A K Y	1	449	i:1768	1768
11528	Anuta	?	if		pe	p e	P V	p e	P E	5	463	if:1804	1804
41152	BanjareseMalay	?	if		jaka	j a k a	J V K V	y a k a	J A K A	4	462	if:1805	1805
37230	Carolinian	?	if		ngaare	n g aa r e	N K V R V	n g a r e	N K A R E	7	465	if:1806	1806
44267	Cebuano	?	if		kung	k u n g	K V N K	k u n g	K Y N K	11	456	if:1807	1807
11492	ChuukeseAKATrukese	?	if		are	a r e	V R V	a r e	A R E	7	465	if:1806	1806
57881	DayakNgaju	?	if		jaka	j a k a	J V K V	y a k a	J A K A	4	462	if:1805	1805
57882	DayakNgaju	?	if		amun	a m u n	V M V N	a m u n	A M Y N	10	455	if:1815	1815
24573	EastSumbaneseKamberaSoutherndialect	?	if		jaka	j a k a	J V K V	y a k a	J A K A	4	462	if:1805	1805
51468	EastSumbaneseUmbuRatuNggaidialect	?	if		yeka	ye k a	V K V	i k a	Y K A	4	462	if:1805	1805
61551	FutunaEast	?	if		kapau	k a p au	K V P V	k a p a	K A P A	5	463	if:1805	1805
1274	Indonesian	?	if		kalau	k a l au	K V R V	k a l a	K A L A	14	457	if:1805	1805
4510	Itbayaten	?	if		qan	q a n	K V N	q a n	K A N	25	460	if:1814	1814
15512	Katingan	?	if		amun	a m u n	V M V N	a m u n	A M Y N	10	455	if:1815	1815
65978	Luangiua	?	if		po/i	p o i	P V V	p o i	P U I	5	463	if:1816	1816
16512	MalayBahasaIndonesia	?	if		kalau	k a l au	K V R V	k a l a	K A L A	14	457	if:1805	1805
65808	Marquesan	?	if		me	m e	M V	m e	M E	5	463	if:1804	1804
28453	Minangkabau	?	if		kalau	k a l au	K V R V	k a l a	K A L A	14	457	if:1805	1805
48133	NakanaiBilekiDialect	?	if		mai	m ai	M V	m a	M A	3	461	if:1804	1804
9182	Ogan	?	if		kalu	k a l u	K V R V	k a l u	K A L Y	14	457	if:1805	1805
15719	RapanuiEasterIsland	?	if		ana	a n a	V N V	a n a	A N A	6	464	if:1814	1814
25745	Rarotongan	?	if		me	m e	M V	m e	M E	5	463	if:1804	1804
29103	Rennellese	?	if		poi	p oi	P V	p o	P U	18	458	if:1816	1816
3670	Samoan	?	if		ʔa|na	ʔ a| n a	H V N V	7 a n a	H A N A	6	464	if:1814	1814
30412	Surigaonon	?	if		kon	k o n	K V N	k o n	K U N	11	456	if:1807	1807
36640	Tagalog	?	if		kung	k u n g	K V N K	k u n g	K Y N K	11	456	if:1807	1807
2442	TagalogAnthonydelaPaz	?	if		kung	k u n g	K V N K	k u n g	K Y N K	11	456	if:1807	1807
31109	Tikopia	?	if		ka	k a	K V	k a	K A	1	454	if:1805	1805
55360	Tongan	?	if		ka	k a	K V	k a	K A	1	454	if:1805	1805
65154	WesternBukidnonManobo	?	if		ke	k e	K V	k e	K E	1	454	if:1804	1804
59998	Woleai	?	if		gareɛ	g a r eɛ	K V R V	g a r e	K A R E	7	465	if:1806	1806
1041	Yami	?	if		no	n o	N V	n o	N U	2	459	if:1807	1807
36593	BanjareseMalay	?	in,inside		dalam	d a l a m	T V R V M	d a l a m	T A L A M	1	466	in,inside:1817	1817
6435	Carolinian	?	in,inside		ilo	i l o	V R V	i l o	I L U	1	466	in,inside:1818	1818
19554	Chuukese	?	in,inside		nno	nn o	N V	n o	N U	1	466	in,inside:1818	1818
43262	ChuukeseAKATrukese	?	in,inside		noo	n oo	N V	n o	N U	1	466	in,inside:1820	1820
60698	DayakNgaju	?	in,inside		huang	h ua n g	H V N K	h u n g	H Y N K	13	467	in,inside:1821	1821
26731	FutunaEast	?	in,inside		loto	l o t o	R V T V	l o t o	L U T U	5	472	in,inside:1818	1818
37513	Imorod	?	in,inside		sahad	s a h a d	S V H V T	s a h a d	S A H A T	14	468	in,inside:1817	1817
50011	Iraralay	?	in,inside		isek	i s e k	V S V K	i s e k	I S E K	15	469	in,inside:1824	1824
50012	Iraralay	?	in,inside		sahad	s a h a d	S V H V T	s a h a d	S A H A T	14	468	in,inside:1817	1817
54435	Isamorong	?	in,inside		sahad	s a h a d	S V H V T	s a h a d	S A H A T	14	468	in,inside:1817	1817
3454	Itbayat	?	in,inside		isek	i s e k	V S V K	i s e k	I S E K	15	469	in,inside:1824	1824
3455	Itbayat	?	in,inside		asked	a s k e d	V S K V T	a s k e d	A S K E T	14	468	in,inside:1824	1824
15411	Ivasay	?	in,inside		isek	i s e k	V S V K	i s e k	I S E K	15	469	in,inside:1824	1824
15412	Ivasay	?	in,inside		asked	a s k e d	V S K V T	a s k e d	A S K E T	14	468	in,inside:1824	1824
61223	Lakalai	?	in,inside		oilo	oi l o	V R V	o l o	U L U	1	466	in,inside:1818	1818
24285	Luangiua	?	in,inside		loko	l o k o	R V K V	l o k o	L U K U	5	472	in,inside:1818	1818
17165	Marquesan	?	in,inside		i	i	V	i	I	4	471	in,inside:1830	1830
17166	Marquesan	?	in,inside		oto	o t o	V T V	o t o	U T U	5	472	in,inside:1818	1818
30541	NakanaiBilekiDialect	?	in,inside		iilo	ii l o	V R V	i l o	I L U	1	466	in,inside:1818	1818
39064	Niue	?	in,inside		loto	l o t o	R V T V	l o t o	L U T U	5	472	in,inside:1818	1818
3037	Ogan	?	in,inside		dalam	d a l a m	T V R V M	d a l a m	T A L A M	1	466	in,inside:1817	1817
67371	RapanuiEasterIsland	?	in,inside		i	i	V	i	I	4	471	in,inside:1830	1830
67372	RapanuiEasterIsland	?	in,inside		roto	r o t o	R V T V	r o t o	R U T U	5	472	in,inside:1818	1818
2382	Rarotongan	?	in,inside		roto	r o t o	R V T V	r o t o	R U T U	5	472	in,inside:1818	1818
3303	Rennellese	?	in,inside		goto	g o t o	K V T V	g o t o	K U T U	5	472	in,inside:1818	1818
34128	Rurutuan	?	in,inside		roto	r o t o	R V T V	r o t o	R U T U	5	472	in,inside:1818	1818
47802	Samoan	?	in,inside		loto	l o t o	R V T V	l o t o	L U T U	5	472	in,inside:1818	1818
62686	TagalogAnthonydelaPaz	?	in,inside		loob	l oo b	R V P	l o b	L U P	23	470	in,inside:1820	1820
7749	Tikopia	?	in,inside		i	i	V	i	I	4	471	in,inside:1830	1830
7750	Tikopia	?	in,inside		roto	r o t o	R V T V	r o t o	R U T U	5	472	in,inside:1818	1818
25864	Tuamotu	?	in,inside		roto	r o t o	R V T V	r o t o	R U T U	5	472	in,inside:1818	1818
16847	UveaEast	?	in,inside		i	i	V	i	I	4	471	in,inside:1830	1830
25445	WesternBukidnonManobo	?	in,inside		seled	s e l e d	S V R V T	s e l e d	S E L E T	14	468	in,inside:1817	1817
15025	Woleai	?	in,inside		lalo	l a l o	R V R V	l a l o	L A L U	1	466	in,inside:1818	1818
21933	BanjareseMalay	?	intestines		parutlilit	p a r u t l i l i t	P V R V T R V R V T	p a r u t l i l i t	P A R Y T L I L I T	23	479	intestines:1831	1831
21934	BanjareseMalay	?	intestines		ucus	u c u s	V K V S	u T u s	Y C Y S	24	480	intestines:1844	1844
11874	Carolinian	?	intestines		taa	t aa	T V	t a	T A	14	476	intestines:1832	1832
9311	Cebuano	?	intestines		tinai	t i n ai	T V N V	t i n a	T I N A	1	473	intestines:1833	1833
48634	ChuukeseAKATrukese	?	intestines		taa	t aa	T V	t a	T A	14	476	intestines:1832	1832
12367	EastSumbaneseKamberaSoutherndialect	?	intestines		tanai	t a n ai	T V N V	t a n a	T A N A	1	473	intestines:1833	1833
30593	EastSumbaneseUmbuRatuNggaidialect	?	intestines		tanei	t a n ei	T V N V	t a n e	T A N E	1	473	intestines:1833	1833
28674	FutunaEast	?	intestines		vava	v a v a	W V W V	v a v a	B A B A	11	474	intestines:1837	1837
28675	FutunaEast	?	intestines		tinae	t i n ae	T V N V	t i n a	T I N A	1	473	intestines:1833	1833
3525	Imorod	?	intestines		cinayi	c i n ayi	K V N V	T i n a	C I N A	1	473	intestines:1833	1833
51798	Iraralay	?	intestines		cinayi	c i n ayi	K V N V	T i n a	C I N A	1	473	intestines:1833	1833
49616	Isamorong	?	intestines		cinayi	c i n ayi	K V N V	T i n a	C I N A	1	473	intestines:1833	1833
35684	Itbayat	?	intestines		tinayi	t i n ayi	T V N V	t i n a	T I N A	1	473	intestines:1833	1833
44698	Itbayaten	?	intestines		tinayiq	t i n ayi q	T V N V K	t i n a q	T I N A K	1	473	intestines:1833	1833
5389	Ivasay	?	intestines		tinayi	t i n ayi	T V N V	t i n a	T I N A	1	473	intestines:1833	1833
14670	Lakalai	?	intestines		tamusi	t a m u s i	T V M V S V	t a m u s i	T A M Y S I	18	477	intestines:1844	1844
1680	Luangiua	?	intestines		vaavaa	v aa v aa	W V W V	v a v a	B A B A	11	474	intestines:1837	1837
21223	MalayBahasaIndonesia	?	intestines		usus	u s u s	V S V S	u s u s	Y S Y S	24	480	intestines:1844	1844
43427	Marquesan	?	intestines		koekoe	k oe k oe	K V K V	k o k o	K U K U	31	481	intestines:1847	1847
44349	NakanaiBilekiDialect	?	intestines		tamusi	t a m u s i	T V M V S V	t a m u s i	T A M Y S I	18	477	intestines:1844	1844
20660	Niue	?	intestines		ŋaakau	ŋ aa k au	N V K V	N a k a	N A K A	12	475	intestines:1849	1849
17361	Ogan	?	intestines		pəxut	p ə x u t	P V K V T	p I x u t	P E G Y T	23	479	intestines:1831	1831
20425	Penrhyn	?	intestines		ngaakau	n g aa k au	N K V K V	n g a k a	N K A K A	12	475	intestines:1849	1849
25635	Rarotongan	?	intestines		ngaakau	n g aa k au	N K V K V	n g a k a	N K A K A	12	475	intestines:1849	1849
22261	Rennellese	?	intestines		ɣoɣuɣoɣu	ɣ o ɣ u ɣ o ɣ u	K V K V K V K V	x o x u x o x u	G U G Y G U G Y	35	482	intestines:1853	1853
10927	Rurutuan	?	intestines		ʔaaʔau	ʔ aa ʔ au	H V H V	7 a 7 a	H A H A	12	475	intestines:1849	1849
34671	Samoan	?	intestines		ŋaʔau	ŋ a ʔ au	N V H V	N a 7 a	N A H A	12	475	intestines:1849	1849
21072	Surigaonon	?	intestines		tinai	t i n ai	T V N V	t i n a	T I N A	1	473	intestines:1833	1833
4564	Tagalog	?	intestines		bituka	b i t u k a	P V T V K V	b i t u k a	P I T Y K A	21	478	intestines:1857	1857
34493	TagalogAnthonydelaPaz	?	intestines		bituka	b i t u k a	P V T V K V	b i t u k a	P I T Y K A	21	478	intestines:1857	1857
11240	TahitianModern	?	intestines		aaau	aaau	V	a	A	12	475	intestines:1859	1859
25428	Tikopia	?	intestines		ngakau	n g a k au	N K V K V	n g a k a	N K A K A	12	475	intestines:1849	1849
60312	Tongan	?	intestines		ŋakau	ŋ a k au	N V K V	N a k a	N A K A	12	475	intestines:1849	1849
39412	Tuamotu	?	intestines		ŋaakau	ŋ aa k au	N V K V	N a k a	N A K A	12	475	intestines:1849	1849
40536	UveaEast	?	intestines		gaakau	g aa k au	K V K V	g a k a	K A K A	12	475	intestines:1849	1849
4871	WesternBukidnonManobo	?	intestines		bituka	b i t u k a	P V T V K V	b i t u k a	P I T Y K A	21	478	intestines:1857	1857
49833	Woleai	?	intestines		taa	t aa	T V	t a	T A	14	476	intestines:1832	1832
22465	Yami	?	intestines		cinai	c i n ai	K V N V	T i n a	C I N A	1	473	intestines:1833	1833
5596	BanjareseMalay	?	lake		danau	d a n au	T V N V	d a n a	T A N A	1	483	lake:1860	1860
7581	Cebuano	?	lake		lanaw	l a n a w	R V N V W	l a n a w	L A N A W	1	483	lake:1860	1860
33595	DayakNgaju	?	lake		danau	d a n au	T V N V	d a n a	T A N A	1	483	lake:1860	1860
64790	EastSumbaneseKamberaSoutherndialect	?	lake		tama	t a m a	T V M V	t a m a	T A M A	4	484	lake:1860	1860
18595	EastSumbaneseUmbuRatuNggaidialect	?	lake		tama	t a m a	T V M V	t a m a	T A M A	4	484	lake:1860	1860
62056	FutunaEast	?	lake		namo	n a m o	N V M V	n a m o	N A M U	7	486	lake:1860	1860
5685	Indonesian	?	lake		danau	d a n au	T V N V	d a n a	T A N A	1	483	lake:1860	1860
1233	Katingan	?	lake		danau	d a n au	T V N V	d a n a	T A N A	1	483	lake:1860	1860
59022	MalayBahasaIndonesia	?	lake		danau	d a n au	T V N V	d a n a	T A N A	1	483	lake:1860	1860
59633	Maori	?	lake		roto	r o t o	R V T V	r o t o	R U T U	6	485	lake:1869	1869
38940	Minangkabau	?	lake		danau	d a n au	T V N V	d a n a	T A N A	1	483	lake:1860	1860
28368	Niue	?	lake		loto	l o t o	R V T V	l o t o	L U T U	6	485	lake:1869	1869
28369	Niue	?	lake		namo	n a m o	N V M V	n a m o	N A M U	7	486	lake:1860	1860
7242	Ogan	?	lake		danau	d a n au	T V N V	d a n a	T A N A	1	483	lake:1860	1860
16017	RapanuiEasterIsland	?	lake		rano	r a n o	R V N V	r a n o	R A N U	1	483	lake:1860	1860
34929	Rarotongan	?	lake		roto	r o t o	R V T V	r o t o	R U T U	6	485	lake:1869	1869
31718	Rennellese	?	lake		goto	g o t o	K V T V	g o t o	K U T U	6	485	lake:1869	1869
31719	Rennellese	?	lake		gano	g a n o	K V N V	g a n o	K A N U	1	483	lake:1860	1860
54939	Rurutuan	?	lake		roto	r o t o	R V T V	r o t o	R U T U	6	485	lake:1869	1869
64935	Samoan	?	lake		lano	l a n o	R V N V	l a n o	L A N U	1	483	lake:1860	1860
