ID	DOCULECT	ISO_CODE	CONCEPT	CONCEPTICON_ID	FORM	TOKENS	ASJP	DOLGO	SCA	COGNATE_CLASS	COGID	INFERRED_CLASS	INFOMAPID
18748	FutunaEast	?	mouth		gutu	g u t u	K V T V	g u t u	K Y T Y	2	576	mouth:592	592
41690	Imorod	?	mouth		ngongoy	n g o n g oy	N K V N K V	n g o n g o	N K U N K U	22	578	mouth:597	597
52004	Indonesian	?	mouth		mulut	m u l u t	M V R V T	m u l u t	M Y L Y T	27	579	mouth:596	596
28399	Iraralay	?	mouth		ngongoy	n g o n g oy	N K V N K V	n g o n g o	N K U N K U	22	578	mouth:597	597
62457	Isamorong	?	mouth		vivi	v i v i	W V W V	v i v i	B I B I	32	580	mouth:594	594
43659	Itbayat	?	mouth		vivih	v i v i h	W V W V H	v i v i h	B I B I H	32	580	mouth:594	594
10712	Itbayaten	?	mouth		vivih	v i v i h	W V W V H	v i v i h	B I B I H	32	580	mouth:594	594
35206	Ivasay	?	mouth		vivi	v i v i	W V W V	v i v i	B I B I	32	580	mouth:594	594
57256	Katingan	?	mouth		nawɛʔ	n a w ɛ ʔ	N V W V H	n a w E 7	N A W E H	20	577	mouth:602	602
40703	Lakalai	?	mouth		hare	h a r e	H V R V	h a r e	H A R E	15	575	mouth:600	600
11547	Luangiua	?	mouth		puu/a	p uu a	P V V	p u a	P Y A	49	583	mouth:601	601
50946	MalayBahasaIndonesia	?	mouth		mulut	m u l u t	M V R V T	m u l u t	M Y L Y T	27	579	mouth:596	596
23942	Maori	?	mouth		waha	w a h a	W V H V	w a h a	W A H A	1	574	mouth:593	593
46818	Marquesan	?	mouth		nutu	n u t u	N V T V	n u t u	N Y T Y	2	576	mouth:592	592
46819	Marquesan	?	mouth		fafa	f a f a	P V P V	f a f a	B A B A	1	574	mouth:593	593
40191	Minangkabau	?	mouth		muncuaŋ	m u n c ua ŋ	M V N K V N	m u n T u N	M Y N C Y N	47	582	mouth:599	599
16143	NakanaiBilekiDialect	?	mouth		hare	h a r e	H V R V	h a r e	H A R E	15	575	mouth:600	600
28560	Niue	?	mouth		ŋutu	ŋ u t u	N V T V	N u t u	N Y T Y	2	576	mouth:592	592
468	Ogan	?	mouth		mulut	m u l u t	M V R V T	m u l u t	M Y L Y T	27	579	mouth:596	596
10062	Penrhyn	?	mouth		vaha	v a h a	W V H V	v a h a	B A H A	1	574	mouth:593	593
63597	RapanuiEasterIsland	?	mouth		gutu	g u t u	K V T V	g u t u	K Y T Y	2	576	mouth:592	592
63598	RapanuiEasterIsland	?	mouth		haha	h a h a	H V H V	h a h a	H A H A	1	574	mouth:593	593
48848	Rarotongan	?	mouth		vaa	v aa	W V	v a	B A	1	574	mouth:593	593
53100	Rennellese	?	mouth		ngutu	n g u t u	N K V T V	n g u t u	N K Y T Y	2	576	mouth:592	592
53101	Rennellese	?	mouth		haha/nga	h a h a n g a	H V H V N K V	h a h a n g a	H A H A N K A	1	574	mouth:593	593
38206	Rurutuan	?	mouth		vaʔa	v a ʔ a	W V H V	v a 7 a	B A H A	1	574	mouth:593	593
20392	Samoan	?	mouth		ŋutu	ŋ u t u	N V T V	N u t u	N Y T Y	2	576	mouth:592	592
23844	Sikaiana	?	mouth		pukua	p u k ua	P V K V	p u k u	P Y K Y	49	583	mouth:601	601
31727	Surigaonon	?	mouth		baba	b a b a	P V P V	b a b a	P A P A	1	574	mouth:598	598
30392	Tagalog	?	mouth		bibig	b i b i g	P V P V K	b i b i g	P I P I K	32	580	mouth:594	594
56276	TagalogAnthonydelaPaz	?	mouth		bibig	b i b i g	P V P V K	b i b i g	P I P I K	32	580	mouth:594	594
2013	TahitianModern	?	mouth		vaha	v a h a	W V H V	v a h a	B A H A	1	574	mouth:593	593
14037	Tikopia	?	mouth		ngutu	n g u t u	N K V T V	n g u t u	N K Y T Y	2	576	mouth:592	592
15353	Tongan	?	mouth		ŋutu	ŋ u t u	N V T V	N u t u	N Y T Y	2	576	mouth:592	592
55418	Tuamotu	?	mouth		ŋutu	ŋ u t u	N V T V	N u t u	N Y T Y	2	576	mouth:592	592
55419	Tuamotu	?	mouth		vaha	v a h a	W V H V	v a h a	B A H A	1	574	mouth:593	593
34458	WesternBukidnonManobo	?	mouth		baqbaq	b a q b a q	P V K P V K	b a q b a q	P A K P A K	1	574	mouth:598	598
3366	Woleai	?	mouth		yawa	ya w a	V W V	i w a	Y W A	36	581	mouth:595	595
40305	Yami	?	mouth		ŋusuʔ	ŋ u s u ʔ	N V S V H	N u s u 7	N Y S Y H	2	576	mouth:603	603
40306	Yami	?	mouth		ngongoy	n g o n g oy	N K V N K V	n g o n g o	N K U N K U	22	578	mouth:597	597
60655	Anuta	?	name		ingoa	i n g oa	V N K V	i n g o	I N K U	6	588	name:606	606
18482	BanjareseMalay	?	name		ngaran	n g a r a n	N K V R V N	n g a r a n	N K A R A N	1	585	name:605	605
54787	Carolinian	?	name		iit	ii t	V T	i t	I T	1	585	name:607	607
6919	Cebuano	?	name		ngalan	n g a l a n	N K V R V N	n g a l a n	N K A L A N	1	585	name:605	605
12505	Chuukese	?	name		iit	ii t	V T	i t	I T	1	585	name:607	607
66782	ChuukeseAKATrukese	?	name		ite	i t e	V T V	i t e	I T E	1	585	name:607	607
57569	DayakNgaju	?	name		aran	a r a n	V R V N	a r a n	A R A N	1	585	name:605	605
25472	EastSumbaneseKamberaSoutherndialect	?	name		tamu	t a m u	T V M V	t a m u	T A M Y	4	587	name:610	610
25473	EastSumbaneseKamberaSoutherndialect	?	name		ngara	n g a r a	N K V R V	n g a r a	N K A R A	1	585	name:605	605
33952	EastSumbaneseUmbuRatuNggaidialect	?	name		ngara	n g a r a	N K V R V	n g a r a	N K A R A	1	585	name:605	605
51516	FutunaEast	?	name		igoa	i g oa	V K V	i g o	I K U	6	588	name:606	606
55802	Imorod	?	name		ngaran	n g a r a n	N K V R V N	n g a r a n	N K A R A N	1	585	name:605	605
38809	Indonesian	?	name		nama	n a m a	N V M V	n a m a	N A M A	12	586	name:608	608
51568	Iraralay	?	name		ngaran	n g a r a n	N K V R V N	n g a r a n	N K A R A N	1	585	name:605	605
23395	Isamorong	?	name		ngaran	n g a r a n	N K V R V N	n g a r a n	N K A R A N	1	585	name:605	605
2121	Itbayat	?	name		ngaran	n g a r a n	N K V R V N	n g a r a n	N K A R A N	1	585	name:605	605
17607	Itbayaten	?	name		ngaran	n g a r a n	N K V R V N	n g a r a n	N K A R A N	1	585	name:605	605
19925	Ivasay	?	name		ngaran	n g a r a n	N K V R V N	n g a r a n	N K A R A N	1	585	name:605	605
22431	Katingan	?	name		ŋaran	ŋ a r a n	N V R V N	N a r a n	N A R A N	1	585	name:605	605
20107	Lakalai	?	name		isa	i s a	V S V	i s a	I S A	1	585	name:607	607
36074	Luangiua	?	name		iŋa	i ŋ a	V N V	i N a	I N A	6	588	name:606	606
60236	MalayBahasaIndonesia	?	name		nama	n a m a	N V M V	n a m a	N A M A	12	586	name:608	608
46023	Maori	?	name		ingoa	i n g oa	V N K V	i n g o	I N K U	6	588	name:606	606
53639	Marquesan	?	name		ikoa	i k oa	V K V	i k o	I K U	6	588	name:606	606
2815	Minangkabau	?	name		namo	n a m o	N V M V	n a m o	N A M U	12	586	name:608	608
55762	NakanaiBilekiDialect	?	name		isa	i s a	V S V	i s a	I S A	1	585	name:607	607
12732	Niue	?	name		higoa	h i g oa	H V K V	h i g o	H I K U	6	588	name:606	606
34143	Ogan	?	name		namə	n a m ə	N V M V	n a m I	N A M E	12	586	name:608	608
1586	Penrhyn	?	name		ingoa	i n g oa	V N K V	i n g o	I N K U	6	588	name:606	606
27818	RapanuiEasterIsland	?	name		igoa	i g oa	V K V	i g o	I K U	6	588	name:606	606
57194	Rarotongan	?	name		ingoa	i n g oa	V N K V	i n g o	I N K U	6	588	name:606	606
19870	Rennellese	?	name		ingoa	i n g oa	V N K V	i n g o	I N K U	6	588	name:606	606
42320	Rurutuan	?	name		iʔoa	i ʔ oa	V H V	i 7 o	I H U	6	588	name:606	606
38090	Samoan	?	name		iŋoa	i ŋ oa	V N V	i N o	I N U	6	588	name:606	606
17175	Surigaonon	?	name		ngayan	n g aya n	N K V N	n g a n	N K A N	1	585	name:605	605
61528	Tagalog	?	name		pangalan	p a n g a l a n	P V N K V R V N	p a n g a l a n	P A N K A L A N	1	585	name:605	605
9415	TagalogAnthonydelaPaz	?	name		pangalan	p a n g a l a n	P V N K V R V N	p a n g a l a n	P A N K A L A N	1	585	name:605	605
7391	TahitianModern	?	name		ioa	ioa	V	i	I	6	588	name:609	609
61025	Tikopia	?	name		igoa	i g oa	V K V	i g o	I K U	6	588	name:606	606
29670	Tongan	?	name		hiŋoa	h i ŋ oa	H V N V	h i N o	H I N U	6	588	name:606	606
13850	Tuamotu	?	name		iŋoa	i ŋ oa	V N V	i N o	I N U	6	588	name:606	606
58606	UveaEast	?	name		higoa	h i g oa	H V K V	h i g o	H I K U	6	588	name:606	606
9741	WesternBukidnonManobo	?	name		ŋazan	ŋ a z a n	N V S V N	N a z a n	N A S A N	1	585	name:605	605
55310	Woleai	?	name		ita	i t a	V T V	i t a	I T A	1	585	name:607	607
61088	Yami	?	name		ngaran	n g a r a n	N K V R V N	n g a r a n	N K A R A N	1	585	name:605	605
19676	Carolinian	?	narrow		scheeghit	s c h ee g h i t	S K H V K H V T	s T h e g h i t	S C H E K H I T	66	599	narrow:616	616
55889	Cebuano	?	narrow		hagipot	h a g i p o t	H V K V P V T	h a g i p o t	H A K I P U T	1	589	narrow:619	619
36734	EastSumbaneseKamberaSoutherndialect	?	narrow		kahukul	k a h u k u l	K V H V K V R	k a h u k u l	K A H Y K Y L	5	597	narrow:621	621
56165	EastSumbaneseUmbuRatuNggaidialect	?	narrow		hadipal	h a d i p a l	H V T V P V R	h a d i p a l	H A T I P A L	6	598	narrow:620	620
28710	FutunaEast	?	narrow		lauikiiki	l aui k ii k i	R V K V K V	l a k i k i	L A K I K I	9	601	narrow:614	614
28711	FutunaEast	?	narrow		kiu	k iu	K V	k i	K I	1	589	narrow:613	613
8481	Imorod	?	narrow		meylid	m ey l i d	M V R V T	m e l i d	M E L I T	20	594	narrow:611	611
40946	Indonesian	?	narrow		sempit	s e m p i t	S V M P V T	s e m p i t	S E M P I T	68	600	narrow:612	612
22595	Iraralay	?	narrow		meylid	m ey l i d	M V R V T	m e l i d	M E L I T	20	594	narrow:611	611
23906	Isamorong	?	narrow		maidid	m ai d i d	M V T V T	m a d i d	M A T I T	20	594	narrow:611	611
5102	Itbayat	?	narrow		masopit	m a s o p i t	M V S V P V T	m a s o p i t	M A S U P I T	1	589	narrow:612	612
5103	Itbayat	?	narrow		mahilid	m a h i l i d	M V H V R V T	m a h i l i d	M A H I L I T	20	594	narrow:611	611
15446	Itbayaten	?	narrow		mahilid	m a h i l i d	M V H V R V T	m a h i l i d	M A H I L I T	20	594	narrow:611	611
44181	Ivasay	?	narrow		maidid	m ai d i d	M V T V T	m a d i d	M A T I T	20	594	narrow:611	611
57573	Katingan	?	narrow		sɛpit	s ɛ p i t	S V P V T	s E p i t	S E P I T	1	589	narrow:612	612
43375	Lakalai	?	narrow		kapilikia	k a p i l i k ia	K V P V R V K V	k a p i l i k i	K A P I L I K I	1	589	narrow:622	622
43376	Lakalai	?	narrow		bisi	b i s i	P V S V	b i s i	P I S I	31	596	narrow:613	613
35541	MalayBahasaIndonesia	?	narrow		sempit	s e m p i t	S V M P V T	s e m p i t	S E M P I T	68	600	narrow:612	612
23436	Maori	?	narrow		whaaiti	w h aai t i	W H V T V	w h a t i	W H A T I	9	601	narrow:617	617
9406	Marquesan	?	narrow		faiti	f ai t i	P V T V	f a t i	B A T I	9	601	narrow:617	617
21182	Minangkabau	?	narrow		sampi	s a m p i	S V M P V	s a m p i	S A M P I	68	600	narrow:612	612
32077	Penrhyn	?	narrow		kisi	k i s i	K V S V	k i s i	K I S I	9	601	narrow:613	613
18004	RapanuiEasterIsland	?	narrow		rikiriki	r i k i r i k i	R V K V R V K V	r i k i r i k i	R I K I R I K I	9	601	narrow:614	614
63916	Rarotongan	?	narrow		oaoa	oaoa	V	o	U	12	592	narrow:615	615
63917	Rarotongan	?	narrow		takokota	t a k o k o t a	T V K V K V T V	t a k o k o t a	T A K U K U T A	26	595	narrow:625	625
49242	Rurutuan	?	narrow		oaoa	oaoa	V	o	U	12	592	narrow:615	615
49243	Rurutuan	?	narrow		piri	p i r i	P V R V	p i r i	P I R I	11	591	narrow:613	613
5441	Samoan	?	narrow		lauitiiti	l aui t ii t i	R V T V T V	l a t i t i	L A T I T I	9	601	narrow:614	614
6938	Sikaiana	?	narrow		kopiti	k o p i t i	K V P V T V	k o p i t i	K U P I T I	1	589	narrow:623	623
39403	Tagalog	?	narrow		makitid	m a k i t i d	M V K V T V T	m a k i t i d	M A K I T I T	19	593	narrow:611	611
31791	TagalogAnthonydelaPaz	?	narrow		makitid	m a k i t i d	M V K V T V T	m a k i t i d	M A K I T I T	19	593	narrow:611	611
40456	TahitianModern	?	narrow		oaoa	oaoa	V	o	U	12	592	narrow:615	615
1063	Tuamotu	?	narrow		koma/koma	k o m a k o m a	K V M V K V M V	k o m a k o m a	K U M A K U M A	10	590	narrow:624	624
46712	WesternBukidnonManobo	?	narrow		liǥet	l i ǥ e t	R V K V T	l i x e t	L I K E T	1	589	narrow:618	618
45008	Woleai	?	narrow		sheogitɪ	s h eo g i t ɪ	S H V K V T V	s h e g i t i	S H E K I T I	66	599	narrow:616	616
24692	Yami	?	narrow		liki	l i k i	R V K V	l i k i	L I K I	1	589	narrow:618	618
24693	Yami	?	narrow		meylid	m ey l i d	M V R V T	m e l i d	M E L I T	20	594	narrow:611	611
25400	Anuta	?	near		nei	n ei	N V	n e	N E	31	609	near:631	631
66083	BanjareseMalay	?	near		parak	p a r a k	P V R V K	p a r a k	P A R A K	27	606	near:635	635
4218	Carolinian	?	near		arapa	a r a p a	V R V P V	a r a p a	A R A P A	13	603	near:628	628
27536	Cebuano	?	near		duol	d uo l	T V R	d u l	T Y L	33	610	near:637	637
66920	Chuukese	?	near		arapa	a r a p a	V R V P V	a r a p a	A R A P A	13	603	near:628	628
25345	ChuukeseAKATrukese	?	near		arapa	a r a p a	V R V P V	a r a p a	A R A P A	13	603	near:628	628
43268	EastSumbaneseKamberaSoutherndialect	?	near		marani	m a r a n i	M V R V N V	m a r a n i	M A R A N I	1	602	near:630	630
42784	FutunaEast	?	near		nei	n ei	N V	n e	N E	31	609	near:631	631
42785	FutunaEast	?	near		ofi	o f i	V P V	o f i	U B I	45	613	near:632	632
53339	Imorod	?	near		masngen	m a s n g e n	M V S N K V N	m a s n g e n	M A S N K E N	23	605	near:627	627
22139	Indonesian	?	near		dekat	d e k a t	T V K V T	d e k a t	T E K A T	28	607	near:629	629
19977	Iraralay	?	near		masngen	m a s n g e n	M V S N K V N	m a s n g e n	M A S N K E N	23	605	near:627	627
55361	Isamorong	?	near		masngen	m a s n g e n	M V S N K V N	m a s n g e n	M A S N K E N	23	605	near:627	627
11545	Itbayat	?	near		masngen	m a s n g e n	M V S N K V N	m a s n g e n	M A S N K E N	23	605	near:627	627
32029	Itbayaten	?	near		masngɨn	m a s n g ɨ n	M V S N K V N	m a s n g I n	M A S N K I N	23	605	near:627	627
38262	Ivasay	?	near		maasngen	m aa s n g e n	M V S N K V N	m a s n g e n	M A S N K E N	23	605	near:627	627
38002	Katingan	?	near		daniʔ	d a n i ʔ	T V N V H	d a n i 7	T A N I H	1	602	near:630	630
41213	Lakalai	?	near		hagavi	h a g a v i	H V K V W V	h a g a v i	H A K A B I	19	604	near:636	636
53347	Luangiua	?	near		ŋei	ŋ ei	N V	N e	N E	31	609	near:631	631
7500	MalayBahasaIndonesia	?	near		dekat	d e k a t	T V K V T	d e k a t	T E K A T	28	607	near:629	629
38252	Maori	?	near		tata	t a t a	T V T V	t a t a	T A T A	9	614	near:626	626
47435	Marquesan	?	near		tata	t a t a	T V T V	t a t a	T A T A	9	614	near:626	626
23784	Minangkabau	?	near		dakeʔ	d a k e ʔ	T V K V H	d a k e 7	T A K E H	28	607	near:629	629
30386	NakanaiBilekiDialect	?	near		hagavi	h a g a v i	H V K V W V	h a g a v i	H A K A B I	19	604	near:636	636
36940	Niue	?	near		tata	t a t a	T V T V	t a t a	T A T A	9	614	near:626	626
56783	Ogan	?	near		paraʔ	p a r a ʔ	P V R V H	p a r a 7	P A R A H	27	606	near:635	635
14479	Penrhyn	?	near		vai/tata/	v ai t a t a	W V T V T V	v a t a t a	B A T A T A	9	614	near:626	626
19042	Rarotongan	?	near		vai/tata/	v ai t a t a	W V T V T V	v a t a t a	B A T A T A	9	614	near:626	626
33051	Rennellese	?	near		hitaiaki	h i t aia k i	H V T V K V	h i t a k i	H I T A K I	43	612	near:638	638
21226	Rurutuan	?	near		ʔatata	ʔ a t a t a	H V T V T V	7 a t a t a	H A T A T A	9	614	near:626	626
41165	Samoan	?	near		lata	l a t a	R V T V	l a t a	L A T A	9	614	near:626	626
44329	Sikaiana	?	near		taupili	t au p i l i	T V P V R V	t a p i l i	T A P I L I	30	608	near:633	633
8193	Tagalog	?	near		malapit	m a l a p i t	M V R V P V T	m a l a p i t	M A L A P I T	36	611	near:634	634
25412	TagalogAnthonydelaPaz	?	near		malapit	m a l a p i t	M V R V P V T	m a l a p i t	M A L A P I T	36	611	near:634	634
58516	TahitianModern	?	near		faatata	f aa t a t a	P V T V T V	f a t a t a	B A T A T A	9	614	near:626	626
36884	Tikopia	?	near		piri	p i r i	P V R V	p i r i	P I R I	30	608	near:633	633
61003	Tongan	?	near		ofi	o f i	V P V	o f i	U B I	45	613	near:632	632
22576	Tuamotu	?	near		tata	t a t a	T V T V	t a t a	T A T A	9	614	near:626	626
2259	UveaEast	?	near		tata	t a t a	T V T V	t a t a	T A T A	9	614	near:626	626
48108	WesternBukidnonManobo	?	near		rani	r a n i	R V N V	r a n i	R A N I	1	602	near:630	630
9039	Woleai	?	near		garepa	g a r e p a	K V R V P V	g a r e p a	K A R E P A	13	603	near:628	628
49257	Yami	?	near		masngen	m a s n g e n	M V S N K V N	m a s n g e n	M A S N K E N	23	605	near:627	627
46997	Anuta	?	neck		ua	ua	V	u	Y	18	616	neck:639	639
977	BanjareseMalay	?	neck		gulu	g u l u	K V R V	g u l u	K Y L Y	39	620	neck:640	640
63849	Carolinian	?	neck		uuw	uu w	V W	u w	Y W	18	616	neck:644	644
9458	Cebuano	?	neck		liog	l io g	R V K	l i g	L I K	1	615	neck:642	642
20311	Chuukese	?	neck		wuu	w uu	W V	w u	W Y	18	616	neck:644	644
43704	ChuukeseAKATrukese	?	neck		wuwa	w u w a	W V W V	w u w a	W Y W A	18	616	neck:644	644
37683	DayakNgaju	?	neck		uyat	uya t	V T	u t	Y T	71	623	neck:645	645
27466	EastSumbaneseKamberaSoutherndialect	?	neck		goru	g o r u	K V R V	g o r u	K U R Y	6	622	neck:640	640
61260	EastSumbaneseUmbuRatuNggaidialect	?	neck		koku	k o k u	K V K V	k o k u	K U K Y	5	621	neck:640	640
3486	FutunaEast	?	neck		ua	ua	V	u	Y	18	616	neck:639	639
46785	Imorod	?	neck		zagaw	z a g a w	S V K V W	z a g a w	S A K A W	36	619	neck:641	641
13486	Indonesian	?	neck		leher	l e h e r	R V H V R	l e h e r	L E H E R	1	615	neck:643	643
28112	Iraralay	?	neck		zagaw	z a g a w	S V K V W	z a g a w	S A K A W	36	619	neck:641	641
18916	Isamorong	?	neck		lagaw	l a g a w	R V K V W	l a g a w	L A K A W	36	619	neck:641	641
50650	Itbayat	?	neck		ragaw	r a g a w	R V K V W	r a g a w	R A K A W	36	619	neck:641	641
59673	Itbayaten	?	neck		ragaw	r a g a w	R V K V W	r a g a w	R A K A W	36	619	neck:641	641
55106	Ivasay	?	neck		lagaw	l a g a w	R V K V W	l a g a w	L A K A W	36	619	neck:641	641
1671	Katingan	?	neck		uyat	uya t	V T	u t	Y T	71	623	neck:645	645
20027	Lakalai	?	neck		loho	l o h o	R V H V	l o h o	L U H U	28	618	neck:643	643
11834	Luangiua	?	neck		ua	ua	V	u	Y	18	616	neck:639	639
11183	MalayBahasaIndonesia	?	neck		leher	l e h e r	R V H V R	l e h e r	L E H E R	1	615	neck:643	643
63418	Maori	?	neck		ua	ua	V	u	Y	18	616	neck:639	639
53558	Marquesan	?	neck		kaakii	k aa k ii	K V K V	k a k i	K A K I	20	617	neck:640	640
28903	Minangkabau	?	neck		lihie	l i h ie	R V H V	l i h i	L I H I	1	615	neck:643	643
54162	NakanaiBilekiDialect	?	neck		loho	l o h o	R V H V	l o h o	L U H U	28	618	neck:643	643
22502	Niue	?	neck		faka/kia/	f a k a k ia	P V K V K V	f a k a k i	B A K A K I	20	617	neck:640	640
22503	Niue	?	neck		ua	ua	V	u	Y	18	616	neck:639	639
43275	Ogan	?	neck		liax	l ia x	R V K	l i x	L I G	1	615	neck:642	642
24383	Penrhyn	?	neck		kakii	k a k ii	K V K V	k a k i	K A K I	20	617	neck:640	640
6113	Rarotongan	?	neck		kakii	k a k ii	K V K V	k a k i	K A K I	20	617	neck:640	640
59502	Rennellese	?	neck		ua	ua	V	u	Y	18	616	neck:639	639
9198	Rurutuan	?	neck		ʔaʔii	ʔ a ʔ ii	H V H V	7 a 7 i	H A H I	20	617	neck:640	640
65264	Samoan	?	neck		ua	ua	V	u	Y	18	616	neck:639	639
2213	Sikaiana	?	neck		ua	ua	V	u	Y	18	616	neck:639	639
19370	Surigaonon	?	neck		liog	l io g	R V K	l i g	L I K	1	615	neck:642	642
66828	Tagalog	?	neck		leeg	l ee g	R V K	l e g	L E K	1	615	neck:642	642
20765	TagalogAnthonydelaPaz	?	neck		leeg	l ee g	R V K	l e g	L E K	1	615	neck:642	642
5575	TahitianModern	?	neck		aii	aii	V	a	A	20	617	neck:646	646
18772	Tikopia	?	neck		ua	ua	V	u	Y	18	616	neck:639	639
54957	Tongan	?	neck		kia	k ia	K V	k i	K I	20	617	neck:640	640
26580	Tuamotu	?	neck		kaakii	k aa k ii	K V K V	k a k i	K A K I	20	617	neck:640	640
26581	Tuamotu	?	neck		ua	ua	V	u	Y	18	616	neck:639	639
14580	UveaEast	?	neck		kia	k ia	K V	k i	K I	20	617	neck:640	640
14581	UveaEast	?	neck		ua	ua	V	u	Y	18	616	neck:639	639
51978	WesternBukidnonManobo	?	neck		liqeg	l i q e g	R V K V K	l i q e g	L I K E K	1	615	neck:642	642
66807	Woleai	?	neck		iuwa	iu w a	V W V	i w a	I W A	18	616	neck:644	644
2793	Yami	?	neck		zagaw	z a g a w	S V K V W	z a g a w	S A K A W	36	619	neck:641	641
4484	BanjareseMalay	?	needle		jarum	j a r u m	J V R V M	y a r u m	J A R Y M	1	624	needle:647	647
24435	Cebuano	?	needle		dagum	d a g u m	T V K V M	d a g u m	T A K Y M	1	624	needle:647	647
43062	Chuukese	?	needle		tikek	t i k e k	T V K V K	t i k e k	T I K E K	10	625	needle:648	648
31061	DayakNgaju	?	needle		pilus	p i l u s	P V R V S	p i l u s	P I L Y S	14	626	needle:651	651
48769	EastSumbaneseKamberaSoutherndialect	?	needle		utu	u t u	V T V	u t u	Y T Y	2	628	needle:652	652
64210	EastSumbaneseUmbuRatuNggaidialect	?	needle		rongu	r o n g u	R V N K V	r o n g u	R U N K Y	3	629	needle:657	657
33112	FutunaEast	?	needle		sika	s i k a	S V K V	s i k a	S I K A	9	632	needle:648	648
10776	Imorod	?	needle		rayom	r ayo m	R V M	r a m	R A M	1	624	needle:647	647
5753	Indonesian	?	needle		jarum	j a r u m	J V R V M	y a r u m	J A R Y M	1	624	needle:647	647
64016	Iraralay	?	needle		rayem	r aye m	R V M	r a m	R A M	1	624	needle:647	647
27796	Isamorong	?	needle		rayem	r aye m	R V M	r a m	R A M	1	624	needle:647	647
46725	Itbayat	?	needle		rayem	r aye m	R V M	r a m	R A M	1	624	needle:647	647
29984	Itbayaten	?	needle		rayɨm	r ayɨ m	R V M	r a m	R A M	1	624	needle:647	647
4360	Ivasay	?	needle		dayem	d aye m	T V M	d a m	T A M	1	624	needle:647	647
22740	Katingan	?	needle		pilus	p i l u s	P V R V S	p i l u s	P I L Y S	14	626	needle:651	651
42198	Lakalai	?	needle		salu	s a l u	S V R V	s a l u	S A L Y	1	624	needle:653	653
46205	Luangiua	?	needle		sia	s ia	S V	s i	S I	9	632	needle:648	648
9983	MalayBahasaIndonesia	?	needle		jarum	j a r u m	J V R V M	y a r u m	J A R Y M	1	624	needle:647	647
21897	Maori	?	needle		ngira	n g i r a	N K V R V	n g i r a	N K I R A	16	627	needle:649	649
36149	Marquesan	?	needle		rira	r i r a	R V R V	r i r a	R I R A	16	627	needle:654	654
64199	Minangkabau	?	needle		pinjaiʔ	p i n j ai ʔ	P V N J V H	p i n y a 7	P I N J A H	5	630	needle:655	655
3101	Niue	?	needle		hika	h i k a	H V K V	h i k a	H I K A	9	632	needle:648	648
37049	Ogan	?	needle		jaxum	j a x u m	J V K V M	y a x u m	J A G Y M	1	624	needle:647	647
48384	Penrhyn	?	needle		tui	t ui	T V	t u	T Y	66	631	needle:652	652
23	RapanuiEasterIsland	?	needle		hika	h i k a	H V K V	h i k a	H I K A	9	632	needle:648	648
16377	Rarotongan	?	needle		au	au	V	a	A	1	624	needle:650	650
32474	Rennellese	?	needle		au	au	V	a	A	1	624	needle:650	650
32475	Rennellese	?	needle		sika	s i k a	S V K V	s i k a	S I K A	9	632	needle:648	648
2460	Rurutuan	?	needle		nira	n i r a	N V R V	n i r a	N I R A	16	627	needle:649	649
13742	Samoan	?	needle		au	au	V	a	A	1	624	needle:650	650
50609	Sikaiana	?	needle		sika	s i k a	S V K V	s i k a	S I K A	9	632	needle:648	648
38398	Surigaonon	?	needle		dagom	d a g o m	T V K V M	d a g o m	T A K U M	1	624	needle:647	647
7291	Tagalog	?	needle		karayom	k a r ayo m	K V R V M	k a r a m	K A R A M	1	624	needle:647	647
48662	TagalogAnthonydelaPaz	?	needle		karayom	k a r ayo m	K V R V M	k a r a m	K A R A M	1	624	needle:647	647
39972	TahitianModern	?	needle		nira	n i r a	N V R V	n i r a	N I R A	16	627	needle:649	649
26597	Tikopia	?	needle		sau	s au	S V	s a	S A	1	624	needle:653	653
26598	Tikopia	?	needle		sika	s i k a	S V K V	s i k a	S I K A	9	632	needle:648	648
11774	Tuamotu	?	needle		/hau/ato	h au a t o	H V V T V	h a a t o	H A A T U	1	624	needle:656	656
33485	UveaEast	?	needle		hau	h au	H V	h a	H A	1	624	needle:653	653
33486	UveaEast	?	needle		hika	h i k a	H V K V	h i k a	H I K A	9	632	needle:648	648
66200	WesternBukidnonManobo	?	needle		raǥum	r a ǥ u m	R V K V M	r a x u m	R A K Y M	1	624	needle:647	647
60776	Yami	?	needle		rayom	r ayo m	R V M	r a m	R A M	1	624	needle:647	647
35144	Anuta	?	new		pou	p ou	P V	p o	P U	1	633	new:658	658
47965	BanjareseMalay	?	new		hanyar	h a n ya r	H V N V R	h a n i r	H A N Y R	16	634	new:663	663
28418	Carolinian	?	new		ffe	ff e	P V	f e	B E	1	633	new:658	658
65399	Cebuano	?	new		bago	b a g o	P V K V	b a g o	P A K U	1	633	new:659	659
56479	Chuukese	?	new		ffe	ff e	P V	f e	B E	1	633	new:658	658
40269	ChuukeseAKATrukese	?	new		fe	f e	P V	f e	B E	1	633	new:658	658
26094	DayakNgaju	?	new		haru	h a r u	H V R V	h a r u	H A R Y	1	633	new:659	659
26095	DayakNgaju	?	new		taheta	t a h e t a	T V H V T V	t a h e t a	T A H E T A	20	635	new:660	660
24437	FutunaEast	?	new		foou	f oou	P V	f o	B U	1	633	new:658	658
19754	Imorod	?	new		vayo	v ayo	W V	v a	B A	1	633	new:658	658
