language	iso_code	gloss	global_id	local_id	transcription	cognate_class
IfiraMeleMeleFila	?	at	?	?	i	1
Ilokano	?	below	?	?	baba	1
Megiar	?	night	?	?	tidom	11
Sika	?	they	?	?	rimu	5
KenyahLongAnap	?	lake	?	?	bawaŋ	13
FutunaAniwa	?	green	?	?	moto	10
Masiwang	?	one	?	?	san	1
KayanUmaJuman	?	house	?	?	uma	1
SubanunSindangan	?	sharp	?	?	motɨng	42
Minangkabau	?	tail	?	?	ikua	1
ProtoCentralMalayoPolynesian	?	tovomit	?	?	mutaq	1
Sunda	?	tochoose	?	?	milih	1
Nehan	?	tongue	?	?	mia	7
Ubir	?	back	?	?	kou|n	40
MunaKatobuTongkunoDialect	?	thunder	?	?	tondu	34
Mwotlap	?	you	?	?	kimi	13
Ura	?	tolive,bealive	?	?	omorop	1
Nahavaq	?	short	?	?	mbyʔmbyʔ	11
IfugaoBatad	?	bone	?	?	tongal	1
Kiribati	?	meat/flesh	?	?	iriko	10
Lakalai	?	tocook	?	?	gutu	15
Niue	?	husband	?	?	taane	14
Cebuano	?	tosuck	?	?	mosupsup	1
Tikopia	?	tobite	?	?	ngau	42
Tikopia	?	tobite	?	?	kati	1
Tikopia	?	tobite	?	?	uuti	9
Tikopia	?	tofear	?	?	mataku	1
BilaanKoronadal	?	snake	?	?	qulad	2
Mussau	?	thunder	?	?	palapalaŋa	28
KallahanKeleyqiq	?	name	?	?	ngadan	1
AmbrymSouthEast	?	fire	?	?	upaŋ	21
Tarpia	?	tohold	?	?	tapur	22
Naman	?	snake	?	?	namat	12
Kwaio	?	rat	?	?	gasifou	3
Mokilese	?	road/path	?	?	al	1
Langalanga	?	tolive,bealive	?	?	mouri	1
SaipanCarolinianTanapag	?	day	?	?	raan	6
RejangRejang	?	tosniff,smell	?	?	səmiyum	20
TagalogAnthonydelaPaz	?	onethousand	?	?	sanlibo	6
BauroPawaVillage	?	tosit	?	?	ɔɣaɔɣa	80
Kalagan	?	seven	?	?	pitu	1
OldJavanese	?	wing	?	?	kepek	1
Selaru	?	fat/grease	?	?	mamin	1
Buma	?	father	?	?	aia	22
Tabar	?	rotten	?	?	ovi	45
Paulohi	?	you	?	?	imi	13
ProtoOceanicPawley	?	tail	?	?	siku	13
TungagTungakLavongai	?	night	?	?	voŋ	1
Isamorong	?	dry	?	?	mabkoh	24
Isamorong	?	dry	?	?	makjit	25
Kemak	?	name	?	?	galara	1
Ghari	?	smoke	?	?	puŋu	28
BabatanaKatazi	?	tosniff,smell	?	?	nanambu	51
Nguna	?	who?	?	?	sei	1
Mamanwa	?	tovomit	?	?	soka	9
OldJavanese	?	thatch/roof	?	?	atep	1
MunaKatobuTongkunoDialect	?	sky	?	?	lani	1
IvatanBascoDialect	?	fruit	?	?	qasiq	10
ProtoCentralEasternMalayoPolynesian	?	salt	?	?	tasik	20
ProtoCentralEasternMalayoPolynesian	?	salt	?	?	qasiʀa	1
Rarotongan	?	he/she	?	?	ia	1
Lampung	?	towork	?	?	bəkərjɔ	23
Taiof	?	intestines	?	?	tsinaih	1
Matukar	?	louse	?	?	ut	1
Bali	?	feather	?	?	bulu	1
Manihiki	?	warm	?	?	mahana	1
Kairiru	?	tobite	?	?	qan	38
DaweraDaweloor	?	five	?	?	lim	1
TungagTungakLavongai	?	bird	?	?	manu	1
DumagatCasiguran	?	wet	?	?	bisaq	1
EastSumbaneseUmbuRatuNggaidialect	?	fruit	?	?	wua	1
Nila	?	ear	?	?	klina	1
Ibanag	?	bad,evil	?	?	marakec	1
MalayBahasaIndonesia	?	toswim	?	?	berenang	23
TboliTagabili	?	fog	?	?	lobun	27
Lenakel	?	big	?	?	asuul	47
Popalia	?	he/she	?	?	ia	1
Vano	?	tail	?	?	ndekele	19
ItnegBinongan	?	sea	?	?	baybay	28
Surigaonon	?	sea	?	?	lawud	6
Surigaonon	?	sea	?	?	dagat	25
Rurutuan	?	i	?	?	au	1
SaranganiBlaan	?	tofly	?	?	mayɨŋ	22
Tagabili	?	big	?	?	bɔng	24
Tuvalu	?	tofly	?	?	eva	12
Perai	?	bone	?	?	ruri	2
SaipanCarolinian	?	tofall	?	?	mworomwor	16
Sunda	?	father	?	?	bapa	5
MaloSantaCruz	?	tosplit	?	?	lapiʌ	44
Vaghua	?	wet	?	?	mboma	15
Vaghua	?	wet	?	?	məŋgəts	14
Kwai	?	tovomit	?	?	momoa	1
CiuliAtayal	?	tongue	?	?	hamalit	1
Wolio	?	person/humanbeing	?	?	mia	19
TaeSToraja	?	salt	?	?	sia	1
MbughotuDhadhaje	?	rope	?	?	piru	50
MbughotuDhadhaje	?	rope	?	?	aðɔ	2
Kaidipang	?	two	?	?	diiya	1
BontokGuinaang	?	tobreathe	?	?	ʔaŋəs	24
Bintulu	?	at	?	?	may	23
KelabitBario	?	tosuck	?	?	mitiʔ	16
Saliba	?	wide	?	?	magaga	35
Rennellese	?	they	?	?	kiŋgaua	18
Rennellese	?	they	?	?	kiŋgatou	1
Rukai	?	tospit	?	?	ŋalai	3
Vitu	?	tohunt	?	?	paŋo	16
ProtoSouthernMindanaon	?	towork	?	?	qimuq	44
RapanuiEasterIsland	?	cloud	?	?	kohu	14
HituAmbon	?	tohide	?	?	pahuni	1
Lamboya	?	good	?	?	daha	8
ProtoCentralMalayoPolynesian	?	where?	?	?	pae	3
ProtoCentralMalayoPolynesian	?	where?	?	?	be	2
Cebuano	?	tohunt	?	?	mangayam	25
Sika	?	tostab,pierce	?	?	robak	6
ManoboWesternBukidnon	?	tospit	?	?	qilɨb	39
Baliledo	?	dirty	?	?	marisaka	3
MelanauMukah	?	thin	?	?	lipih	1
Komering	?	toshoot	?	?	nimbaʔ	8
Rotuman	?	two	?	?	rua	1
Sisingga	?	bone	?	?	pandae	8
Matukar	?	meat/flesh	?	?	moda/n	38
SouAmanaTeru	?	tofear	?	?	kere?e	24
Erai	?	tocome	?	?	ma	1
MelanauMukah	?	tosuck	?	?	susep	1
Yamdena	?	thou	?	?	ko	1
Mamanwa	?	eight	?	?	walo	3
Numfor	?	no,not	?	?	ba	25
DaweraDaweloor	?	all	?	?	ramor	4
BabatanaLomaumbi	?	tothink	?	?	nənana	16
Nahavaq	?	far	?	?	silej	45
Tongan	?	feather	?	?	fulufulu	1
TagbanwaAborlanDialect	?	todie,bedead	?	?	patay	1
Wolio	?	todie,bedead	?	?	mate	1
Iraralay	?	tostand	?	?	tomanek	21
Aria	?	ash	?	?	group	15
TaeSToraja	?	woods/forest	?	?	alaʔ	1
Isamorong	?	tothink	?	?	naknakemen	26
Isamorong	?	tothink	?	?	maytokto	25
ManoboAtadownriver	?	topound,beat	?	?	binayu	1
Kove	?	tosteal	?	?	panaho	1
Saa	?	needle	?	?	sulitelu	19
Katingan	?	small	?	?	kurik	27
Vitu	?	towalk	?	?	vana	2
Vitu	?	towalk	?	?	vana	64
SouAmanaTeru	?	tooth	?	?	niki	1
Kove	?	day	?	?	waro	5
Lenakel	?	wife	?	?	peravən	11
Gabadi	?	two	?	?	rua	1
Kwai	?	neck	?	?	lua	18
Takuu	?	fire	?	?	afi	1
Rarotongan	?	warm	?	?	maana	1
Megiar	?	belly	?	?	tiŋai/n	34
Megiar	?	belly	?	?	luwa/n	37
Megiar	?	belly	?	?	tiŋai/n	19
Perai	?	who?	?	?	ohari	8
Penrhyn	?	toturn	?	?	p/ahe	11
Penrhyn	?	toturn	?	?	huri	15
Carolinian	?	he/she	?	?	e	66
Carolinian	?	he/she	?	?	iiy	1
Carolinian	?	he/she	?	?	a	17
Lou	?	man/male	?	?	mween	1
GauraNggaura	?	nose	?	?	iru	1
Carolinian	?	man/male	?	?	mwaal	1
Ilonggo	?	tospit	?	?	dumupla	1
Kalagan	?	small	?	?	tagbiq	30
Babatana	?	tostand	?	?	ndere	10
Teanu	?	tofear	?	?	madau	1
MaringeKmagha	?	tosee	?	?	fifilɔ	59
Yakan	?	tail	?	?	eŋko	1
Tuvalu	?	far	?	?	mamao	13
SkeSeke	?	toplant	?	?	rvu	38
NggaoPoro	?	woman/female	?	?	gaʔase	12
BauroHaununu	?	tobreathe	?	?	manawo	1
TboliTagabili	?	topound,beat	?	?	mdɨk	8
Carolinian	?	dry	?	?	pel	67
Carolinian	?	dry	?	?	pwas	14
TaliseMoli	?	tosay	?	?	kɔea	64
Imorod	?	heavy	?	?	marehmet	22
Penrhyn	?	ear	?	?	taringa	1
Bugotu	?	tail	?	?	iuigu	1
Tolo	?	louse	?	?	ŋutu	1
Emae	?	water	?	?	vai	2
Aiwoo	?	night	?	?	bu	13
Alune	?	grass	?	?	tapuane	49
Wuna	?	tosniff,smell	?	?	nofowono	24
Talise	?	tohunt	?	?	ruɣu	13
Talise	?	tohunt	?	?	ɔŋa	52
Makassar	?	earth/soil	?	?	butta	27
Popalia	?	woods/forest	?	?	hoɸo	35
TboliTagabili	?	leg/foot	?	?	tih	10
MbughotuDhadhaje	?	tosplit	?	?	fɔta	41
Gayo	?	left	?	?	kiri	1
LioFloresTongah	?	back	?	?	loŋqo	6
TaliseMalagheti	?	tohunt	?	?	ruɣu	13
Ivasay	?	tooth	?	?	soong	19
Ivasay	?	tooth	?	?	kamansasanga	13
Ivasay	?	tooth	?	?	nyipen	1
ManoboWesternBukidnon	?	lightning	?	?	kilat	1
Isamorong	?	ear	?	?	tadinya	1
RejangRejang	?	blood	?	?	dalɨaʔ	1
Melayu	?	fifty	?	?	limapuluh	1
Teanu	?	water	?	?	ero	20
Surigaonon	?	tostand	?	?	tindog	20
Imroing	?	head	?	?	okamu	4
Kusaie	?	root	?	?	ɒkɒk	2
BerawanLongTerawan	?	feather	?	?	buluh	1
Puyuma	?	year	?	?	hami	23
MelanauMukah	?	night	?	?	malem	20
Baliledo	?	two	?	?	dhudha	1
Samoan	?	tail	?	?	siʔusiʔu	1
Taiof	?	blood	?	?	rafatsiŋ	8
UveaWest	?	wind	?	?	matagi	1
Anuta	?	smoke	?	?	autiapi	2
Tuvalu	?	tosplit	?	?	ma/faa	5
Nati	?	water	?	?	nuwei	2
Bugotu	?	leg/foot	?	?	n|ae	1
Bukat	?	blood	?	?	daʔ	1
Sasak	?	fog	?	?	awunawun	27
Samoan	?	snake	?	?	ŋata	12
Jawe	?	warm	?	?	hinu	11
Mamboru	?	two	?	?	duada	1
BilaanKoronadal	?	ear	?	?	klingɨ	1
Maranao	?	toopen,uncover	?	?	okab	28
Puluwatese	?	thatch/roof	?	?	yeho	1
Lamboya	?	topound,beat	?	?	bhai	1
GhariNdi	?	tosleep	?	?	maturu	1
Langalanga	?	child	?	?	wɛlala	8
Itbayat	?	narrow	?	?	masopit	1
Itbayat	?	narrow	?	?	mahilid	20
Ririo	?	leg/foot	?	?	nikin	18
Geser	?	no,not	?	?	tei	4
KallahanKeleyqiq	?	toeat	?	?	qekan	1
MinyaifuinGebe	?	toclimb	?	?	sa	1
Kambera	?	tosee	?	?	ita	1
EastSumbaneseKamberaSoutherndialect	?	that	?	?	nana	1
NakanaiBilekiDialect	?	towalk	?	?	tuga	13
Gayo	?	tooth	?	?	ipɔn	1
TboliTagabili	?	that	?	?	nih	1
Chru	?	tosleep	?	?	dix	29
Patpatar	?	fire	?	?	iah	1
Mwotlap	?	grass	?	?	naplih	1
Tontemboan	?	man/male	?	?	tuama	25
Waropen	?	stick/wood	?	?	ai	1
TahitianModern	?	toswell	?	?	oru	6
MadakLamasongDial	?	toshoot	?	?	tuyu	10
Anakalang	?	woman/female	?	?	mawini	1
Tawala	?	tovomit	?	?	meda	19
Paulohi	?	painful,sick	?	?	masele	43
Mbareke	?	tovomit	?	?	muta	1
BajoMoramo	?	nose	?	?	urɔh	1
Bunun	?	short	?	?	maputul	30
TaeSToraja	?	egg	?	?	talloʔ	1
Butuanon	?	tosqueeze	?	?	piga	37
BerawanLongTerawan	?	this	?	?	nih	1
Hiw	?	leg/foot	?	?	ᶢʟoŋo	17
Takia	?	tosee	?	?	dile	1
Patpatar	?	he/she	?	?	aie	1
Pukapuka	?	eight	?	?	valu	3
SaipanCarolinian	?	onehundred	?	?	bwughuw	20
ProtoOceanicBlust	?	tofear	?	?	matakut	1
Mussau	?	we	?	?	ita	1
Mussau	?	we	?	?	ami	2
MunaKatobuTongkunoDialect	?	tocome	?	?	amai	1
Kavalan	?	eight	?	?	aru	3
Wuna	?	snake	?	?	ghule	2
Butuanon	?	in,inside	?	?	suod	14
ApmaSuruMwerani	?	head	?	?	butsu	9
Kambera	?	year	?	?	ndauŋ	1
Letinese	?	tobuy	?	?	weli	1
Ura	?	thin	?	?	ivivirau	21
Anakalang	?	tongue	?	?	lama	6
Saliba	?	left	?	?	seuseuli	38
Maori	?	tochoose	?	?	whiri	1
Nelemwa	?	neck	?	?	noo	1
Minangkabau	?	breast	?	?	susu	1
Seimat	?	big	?	?	lalap	10
Bali	?	tobuy	?	?	məli	1
Namakir	?	left	?	?	mo	1
EastSumbaneseUmbuRatuNggaidialect	?	tochew	?	?	nyama	3
Wogeo	?	we	?	?	kita	1
Nati	?	intestines	?	?	nehini	1
Mortlockese	?	hair	?	?	una	10
Waropen	?	rotten	?	?	bu	52
Hoava	?	tosleep	?	?	puta	15
BontocGuinaang	?	toblow	?	?	qayop	32
Nanggu	?	two	?	?	lʌli	1
Hawaiian	?	nose	?	?	ihu	1
Rarotongan	?	tosuck	?	?	ngotea	9
Rarotongan	?	tosuck	?	?	miti	8
CentralAmis	?	todig	?	?	mikarkar	18
Nduke	?	ear	?	?	taliŋina	1
Patpatar	?	belly	?	?	bala	18
Tanga	?	tail	?	?	kum	28
Wuna	?	mouth	?	?	woba	1
Savu	?	sky	?	?	liru	8
ProtoCentralPacific	?	fish	?	?	ika	1
Takia	?	tolive,bealive	?	?	mado	42
KahuaMami	?	father	?	?	imana	1
Idaan	?	meat/flesh	?	?	si	1
NehanHape	?	stone	?	?	palau	9
Kambera	?	far	?	?	marau	6
BauroBarooVillage	?	tosit	?	?	oɣa	80
SaranganiBlaan	?	tocount	?	?	msɨ	22
KaraWest	?	hand	?	?	limana	1
BerawanLongTerawan	?	thunder	?	?	lətte	49
Sasoutheasterndialect	?	we	?	?	ket	1
Tikopia	?	toblow	?	?	angi	8
Binukid	?	rain	?	?	qudan	1
Kubokota	?	tosee	?	?	dogoro	57
Kubokota	?	tosee	?	?	bati	58
GhariNdi	?	tosee	?	?	rei	13
ManoboIlianenKibudtunganDialect	?	four	?	?	qɨpat	1
Nauru	?	woman/female	?	?	eeen	1
Lou	?	toburn	?	?	suli	4
Singhi	?	tocount	?	?	bibiraŋ	1
Singhi	?	tocount	?	?	niap	2
Butuanon	?	egg	?	?	itlog	24
Moken	?	four	?	?	pat	1
Carolinian	?	towalk	?	?	lo	53
KaraWest	?	sea	?	?	ras	1
UjirNAru	?	tosit	?	?	atal|ay	4
Werinama	?	tocut,hack	?	?	i|da	1
ManoboTigwaIglogsadDialect	?	year	?	?	tuqid	33
ManoboIlianenKibudtunganDialect	?	short	?	?	mibabaq	54
Sunda	?	needle	?	?	jɘrum	1
ProtoCentralMalayoPolynesian	?	if	?	?	ma	3
Kalagan	?	five	?	?	lima	1
Sisingga	?	fat/grease	?	?	voae	37
KaraWest	?	cloud	?	?	bana	17
Madara	?	man/male	?	?	ka	35
Mamanwa	?	dog	?	?	qidoq	21
Teun	?	child	?	?	wakɔʔi	4
Agta	?	intestines	?	?	sihʌt	71
KakidugenIlongot	?	tooth	?	?	bɨqbɨ	72
Kilivila	?	tosew	?	?	basi	53
SamalSiasiDialect	?	liver	?	?	atay	1
Emae	?	tolive,bealive	?	?	mauri	1
MalayBahasaIndonesia	?	tohunt	?	?	berburu	23
Sasoutheasterndialect	?	eye	?	?	mta	1
Makassar	?	dust	?	?	awu	1
PaameseSouth	?	salt	?	?	atasi	20
Mbaengguu	?	mother	?	?	ŋga	31
ProtoAustronesian	?	salt	?	?	timus	2
ProtoAustronesian	?	salt	?	?	qasiʀa	1
BerawanLongTerawan	?	old	?	?	mukon	1
Kemak	?	totieup,fasten	?	?	hutu	9
As	?	blood	?	?	lamɔs	26
PuloAnnan	?	tofly	?	?	yani	13
MarshalleseEDialect	?	they	?	?	er	1
Kapingamarangi	?	eight	?	?	walu	3
Tongan	?	tospit	?	?	ʔanuhi	14
Bugotu	?	person/humanbeing	?	?	tinoni	10
NakanaiBilekiDialect	?	heavy	?	?	tikumu	16
Javanese	?	water	?	?	banu	18
SantaCatalina	?	toeat	?	?	ŋau	15
MerinaMalagasy	?	tofear	?	?	tahotra	1
Nanggu	?	white	?	?	upɒ	45
Kaidipang	?	when?	?	?	rʔoonu	11
Yamdena	?	shoulder	?	?	ba|bara|n	1
Yakan	?	todig	?	?	kalih	1
Iraralay	?	toeat	?	?	koman	1
IfiraMeleMeleFila	?	tongue	?	?	arero	15
Talise	?	tovomit	?	?	mutamuta	1
ManoboAtaupriver	?	tochew	?	?	mamoq	1
Katingan	?	where?	?	?	naŋquhsuwɛi	25
AklanonBisayan	?	wife	?	?	ʔasawa.	1
Werinama	?	rotten	?	?	mikoban	6
Mono	?	dirty	?	?	metu	2
ProtoOceanicBlust	?	tosteal	?	?	panako	1
Luangiua	?	tofear	?	?	makau	1
Kwamera	?	toflow	?	?	arəs	30
Wanukaka	?	bone	?	?	ri	2
Nehan	?	bird	?	?	tetiau	12
SubanonSiocon	?	toplant	?	?	momula	1
Tabar	?	tolive,bealive	?	?	to	8
Maloh	?	tohunt	?	?	mansuʔ	36
DayakNgaju	?	tail	?	?	ikuh	1
Hoava	?	person/humanbeing	?	?	nikana	38
NgaiborSAru	?	fruit	?	?	puin	1
NakanaiBilekiDialect	?	father	?	?	tama	1
Rotuman	?	tobite	?	?	afi	1
Kapingamarangi	?	toclimb	?	?	hiti	6
Takuu	?	you	?	?	kootou	16
Manggarai	?	hair	?	?	wuk	1
ItnegBinongan	?	five	?	?	lima	1
Tikopia	?	togrow	?	?	tupu	1
Popalia	?	no,not	?	?	mbeʔa	30
FijianBau	?	they	?	?	ira	1
EastSumbaneseUmbuRatuNggaidialect	?	toopen,uncover	?	?	bowa	1
Sangir	?	mouth	?	?	mohoŋ	25
ItnegBinongan	?	other	?	?	qodom	1
NakanaiBilekiDialect	?	six	?	?	ivolo	8
BilaanSarangani	?	tolaugh	?	?	mule	42
Bonfia	?	two	?	?	lua	1
LioFloresTongah	?	snake	?	?	nipa	1
WewewaTanaRighudialect	?	tosew	?	?	kutu	3
Luangiua	?	tosee	?	?	ike	1
Buol	?	i	?	?	aku	1
OldJavanese	?	eye	?	?	mata	1
Tape	?	mouth	?	?	pwingin	41
MalayBahasaIndonesia	?	egg	?	?	telur	1
MaringeLeleghia	?	blood	?	?	dadarana	1
Werinama	?	toclimb	?	?	sa	2
Surigaonon	?	tosteal	?	?	kawat	24
Amami	?	long	?	?	naga	56
BuruNamroleBay	?	water	?	?	wae	2
Doura	?	tostand	?	?	ini	67
Doura	?	what?	?	?	tahaka	1
BikolNagaCity	?	four	?	?	apat	1
Ogan	?	stone	?	?	batu	1
Babuza	?	toeat	?	?	naman	1
ManoboTigwaIglogsadDialect	?	woods/forest	?	?	kɨilawan	52
KalingaGuinaangLubuaganDialect	?	day	?	?	qalgaw	1
EastSumbaneseLewadialect	?	toyawn	?	?	ya.i	2
TagbanwaKalamianCoronIslandDialect	?	eye	?	?	mataqc	1
IfugaoBayninan	?	woods/forest	?	?	qinalahan	58
AmbaiYapen	?	short	?	?	tana	22
NgaiborSAru	?	father	?	?	ama	1
MinyaifuinGebe	?	cold	?	?	mijirin	1
Binukid	?	back	?	?	talikudan	1
Likum	?	earth/soil	?	?	pwinek	9
Diodio	?	mosquito	?	?	nimoya	1
IfugaoAmganad	?	belly	?	?	putu	52
Bintulu	?	todig	?	?	kukut	13
Kairiru	?	ear	?	?	tiliŋen	1
Neveei	?	five	?	?	ilim	1
MagoriSouthEastPapua	?	hair	?	?	rimu	17
Paulohi	?	feather	?	?	huru	1
Woleai	?	hair	?	?	yannishimwa	11
SouthEastBabar	?	liver	?	?	raml	5
Niue	?	thatch/roof	?	?	ato	1
Roro	?	toeat	?	?	ani	1
WewewaTanaRighudialect	?	ear	?	?	katilu	4
Orkon	?	woman/female	?	?	vɛn	1
Megiar	?	snake	?	?	mot	12
EastSumbaneseKamberaSoutherndialect	?	tolaugh	?	?	riki	6
NehanHape	?	tofall	?	?	pung	21
MunaKatobuTongkunoDialect	?	wing	?	?	pani	2
FaganiRihua	?	tongue	?	?	meameana	7
Mapun	?	three	?	?	tallu	1
Bugotu	?	narrow	?	?	kapisa	1
Pazeh	?	back	?	?	bukun	2
Makassar	?	needle	?	?	jaruŋ	1
TetunTerikFehandialect	?	woman/female	?	?	feto	27
Imorod	?	above	?	?	teyngato	16
Satawalese	?	five	?	?	lima	1
Mamanwa	?	spider	?	?	lawa	1
Manihiki	?	mouth	?	?	ngutu	2
Manihiki	?	mouth	?	?	vaha	1
Nage	?	blood	?	?	a	1
ManoboSaranganiKayapongaDialect	?	seven	?	?	pito	1
Tolo	?	left	?	?	mauli	1
Woleaian	?	branch	?	?	raa	1
Yakan	?	tosit	?	?	tiŋkoʔ	81
Tikopia	?	toopen,uncover	?	?	afaafa	9
Letinese	?	day	?	?	lera	24
Lou	?	bone	?	?	peteri	30
Nese	?	shoulder	?	?	nebil	38
Sowa	?	tofly	?	?	kak	14
Tikopia	?	road/path	?	?	ara	1
Nduke	?	tohear	?	?	lemono	39
MinyaifuinGebe	?	neck	?	?	kɔkɔ	32
ProtoOceanicPawley	?	dust	?	?	qapuk	1
Amara	?	toknow,beknowledgeable	?	?	klele	18
Mbirao	?	left	?	?	mailina	1
Arosi	?	leaf	?	?	rau	1
Orkon	?	who?	?	?	si	1
Kambera	?	snake	?	?	ularu	2
EastSumbaneseUmbuRatuNggaidialect	?	star	?	?	adinu	6
Soboyo	?	mother	?	?	ina	1
Tanga	?	skin	?	?	fo	13
Mouk	?	egg	?	?	dobutno	14
BatakPalawan	?	tosit	?	?	rɨqɨd	71
Lakalai	?	house	?	?	luma	1
MagoriSouthEastPapua	?	he/she	?	?	ia	1
Komering	?	todream	?	?	buɪnɪpi	1
Melayu	?	stone	?	?	batu	1
Alune	?	meat/flesh	?	?	tinai	8
Bonerate	?	shoulder	?	?	ɓahu	17
Likum	?	thatch/roof	?	?	ak	1
Bukat	?	that	?	?	inaʔ	1
Orkon	?	tolaugh	?	?	mæn	51
Iraralay	?	fire	?	?	apoy	1
WesternFijianNavosa	?	tobuy	?	?	volia	1
Yakan	?	green	?	?	gadduŋ	28
Lampung	?	eye	?	?	matɔ	1
Kedang	?	nose	?	?	niŋ	6
ProtoPolynesian	?	dull,blunt	?	?	penu	12
ProtoPolynesian	?	dull,blunt	?	?	paku	61
Gapapaiwa	?	wife	?	?	kawa	1
PuloAnnan	?	where?	?	?	iyaa	3
Kove	?	rat	?	?	kuruke	3
Ilonggo	?	blood	?	?	dugo	16
MelayuBruneiDialect	?	todrink	?	?	minum	1
Kilivila	?	good	?	?	bwena	37
Sikaiana	?	totieup,fasten	?	?	hau	11
MaloSantaCruz	?	nose	?	?	notu	37
Luang	?	long	?	?	plahəwə	10
BikolNagaCity	?	dust	?	?	alpog	1
MaringeTataba	?	tosit	?	?	hnɔkrɔ	83
Kwamera	?	smoke	?	?	nəse	2
KomeringIlirPalauGemantungVillage	?	todig	?	?	kɑli	1
TagbanwaAborlanDialect	?	woman/female	?	?	babay	1
Wolio	?	woman/female	?	?	bawine	1
Woleaian	?	back	?	?	taguru	12
Aiwoo	?	rope	?	?	nuwale	2
DumagatCasiguran	?	nose	?	?	dungos	71
Tape	?	snake	?	?	nəmot	12
Sowa	?	dry	?	?	rkas	37
Penrhyn	?	left	?	?	kauii	1
MelayuAmbon	?	year	?	?	tao	1
Woleai	?	togrow	?	?	tumwula	22
Woleai	?	togrow	?	?	fasa	23
NggaoPoro	?	tobite	?	?	kakatu	13
Rurutuan	?	snake	?	?	ooʔii	27
Watubela	?	they	?	?	ila	1
Takuu	?	far	?	?	mmao	13
IfugaoAmganad	?	tocry	?	?	tumaqang	23
UveaWest	?	tolive,bealive	?	?	maauli	1
Namakir	?	shoulder	?	?	barau	1
Tuamotu	?	stone	?	?	poofatu	1
Surigaonon	?	nose	?	?	ilong	1
TannaSouthwest	?	branch	?	?	kwalm	23
Ivasay	?	intestines	?	?	tinayi	1
MaringeTataba	?	tokill	?	?	falelehe	16
Nauna	?	tooth	?	?	lih	1
Tongan	?	tolaugh	?	?	kata	7
Vangunu	?	road/path	?	?	huana	35
SaaSaaVillage	?	tolive,bealive	?	?	mauri	1
Nanggu	?	todie,bedead	?	?	mbwə	19
SaaUlawa	?	tosuck	?	?	ɔme	17
AklanonBisayan	?	warm	?	?	ʔinit	23
EastSumbaneseUmbuRatuNggaidialect	?	toblow	?	?	puwu	2
Dorio	?	tostand	?	?	ula	40
Ilonggo	?	right	?	?	tuo	5
Lau	?	year	?	?	falisi	8
KenyahLongAnap	?	heavy	?	?	baat	1
Tuamotu	?	leg/foot	?	?	vae	31
Tuamotu	?	leg/foot	?	?	vae	1
GhariNginia	?	tosteal	?	?	kɔmi	33
KasiraIrahutu	?	mother	?	?	d|ena	1
Selaru	?	toswim	?	?	nau	1
Yami	?	salt	?	?	asin	3
Yami	?	salt	?	?	ɣana	16
Popalia	?	wing	?	?	kapi	46
Rarotongan	?	stone	?	?	pooatu	1
Roro	?	tosteal	?	?	bainau	1
BilaanSarangani	?	toswim	?	?	mahong	22
ProtoMalayoPolynesian	?	snake	?	?	nipay	1
ProtoMalayoPolynesian	?	snake	?	?	hulaʀ	2
Kerinci	?	dry	?	?	krayn	22
WesternBukidnonManobo	?	father	?	?	amaq	1
Mota	?	one	?	?	tuwale	9
SantaCatalina	?	intestines	?	?	aŋae	1
Taiof	?	three	?	?	fopis	4
LampungApiWayLima	?	two	?	?	ʁuɑ	1
Vaghua	?	toburn	?	?	səmpsə	12
IfiraMeleMeleFila	?	one	?	?	tasi	1
Yogya	?	toeat	?	?	dahar	11
Vitu	?	mouth	?	?	ǥava	36
ManoboTigwaIglogsadDialect	?	rat	?	?	qambɨw	43
EastDamar	?	tofly	?	?	nɛm	7
KayanUmaJuman	?	correct,true	?	?	maruŋ	20
Kuni	?	wing	?	?	banina	2
Bukat	?	fire	?	?	apuy	1
Banggi	?	what?	?	?	onuh	2
KankanayNorthern	?	white	?	?	polaw	3
RapanuiEasterIsland	?	louse	?	?	kutu	1
Penrhyn	?	two	?	?	rua	1
Mouk	?	thou	?	?	uom	1
SaaUkiNiMasi	?	mouth	?	?	wawa	43
BikolNagaCity	?	we	?	?	quita	1
Yabem	?	tosqueeze	?	?	pip	21
Carolinian	?	tolive,bealive	?	?	maari	1
Sikaiana	?	child	?	?	tamaliki/liki	6
ProtoMalayoPolynesian	?	cloud	?	?	ʀabun	1
Loniu	?	tocry	?	?	taŋ	1
Kapampangan	?	toflow	?	?	mamagus	21
Samoan	?	narrow	?	?	lauitiiti	9
Kalagan	?	fruit	?	?	bunga	9
MonoFauro	?	blood	?	?	masinina	7
Katingan	?	wife	?	?	sawai	1
Toambaita	?	red	?	?	meemenaʔa	1
MurnatenAlune	?	tostab,pierce	?	?	sipa	5
Acehnese	?	child	?	?	aneuk	1
Iliun	?	grass	?	?	nau	11
Nelemwa	?	big	?	?	hak	14
PuloAnna	?	woman/female	?	?	dine	1
ChuukeseAKATrukese	?	cold	?	?	ffeew	11
Mbareke	?	tooth	?	?	livona	1
IlongotKakidugen	?	leg/foot	?	?	tɨǥɨ	72
MalayBahasaIndonesia	?	worm_earthworm	?	?	cacing	23
BajoLakonea	?	one	?	?	isǝʔ	1
TahitianModern	?	new	?	?	aapii	7
Maututu	?	todig	?	?	oli	1
Rennellese	?	topound,beat	?	?	tuki	2
