ID	DOCULECT	DOCULECT_ABBREVIATION	DOCULECT_FILE	POPULATION_NAME	GLOTTOCODE	CONCEPT	GLOSSID	VALUE	FORM	COGNACY	COG	DOCULECT_AGE	BORROWING	NOTE	COGID	TOKENS
696	Gangte	GAN	chin		gang1266	blood	9	thi=sian	thisian	2017	2017:blood	20	0		487	tʰ i ◦ s i a n
697	Pochuri	POC	naga		poch1243	blood	9	azɨ	azɨ	2017	2017:blood	20	0		487	a ◦ z ɨ
698	Quueyu	QUE	syc		quey1238	bone	10	ʃə.55 rə.55	ʃə⁵⁵_rə⁵⁵	703	703:bone	20	0		1448	ʃ ə ⁵⁵ ◦ r ə ⁵⁵
699	Dhimal	DHI	dhim		dhim1246	bone	10	hara	hara	637	637:bone	20	0		1420	h a ◦ r a
700	Apatari	APA	tani		apat1240	bone	10	àló	àló	1857	1857:bone	20	0		434	a ◦ l o
702	Jirel	JIR	tib		jire1238	bone	10	ru:. L1=ba. L1	ruː_L¹ba_L¹	703	703:bone	20	0		1448	r uː _ ¹ ◦ b a _ ¹
703	Old Chinese	OCH	sino	Han	oldc1244	bone	10	kūt 骨	kūt	2248	2248:bone	-10	0		560	k uː t
704	Lhota	LHO	naga	Naga (Ao_Naga)	loth1237	bone	10	o:rɨ	oːrɨ	703	703:bone	20	0	Naga Lotha	1448	oː ◦ r ɨ
705	Lushai	LSH	chin		lush1249	bone	10	ruh	ruh	84	84:bone	20	0		1499	r u h
706	Lepcha	LEP	lep		lepc1244	bone	10	a-krăt	a-krăt	703	703:bone	20	0		1448	a + k r a t
707	Sgaw	SGO	kar	Karen	sgaw1245	bone	10	xi.44	xi⁴⁴	703	703:bone	20	0		1448	x i ⁴⁴
708	Rourou	ROU	nung		nusu1239	bone	10	[xo.31] ʔua.44	_ʔua⁴⁴	4017	4017:bone	20	0		891	ʔ u a ⁴⁴
709	Khezhama	KHE	naga		khez1235	bone	10	eru	eru	703	703:bone	20	0		1448	e ◦ r u
710	Dulong	DUL	trun		drun1238	bone	10	a:ŋ.55 rɨ.55	aːŋ⁵⁵_rɨ⁵⁵	703	703:bone	20	0		1448	aː ŋ ⁵⁵ ◦ r ɨ ⁵⁵
711	Tangkul	TAN	naga		tang1336	bone	10	ara	ara	703	703:bone	20	0		1448	a ◦ r a
712	Pa'O	PAO	kar	Karen	paok1235	bone	10	ʔa.11 cut.11	ʔa¹¹_cut¹¹	4512	4512:bone	20	0		1253	ʔ a ¹¹ ◦ ts u t ¹¹
713	Yamphu	YAM	kir		yamp1242	bone	10	säkkoʔwa	säkkoʔwa	703	703:bone	20	0		1448	s æ k ◦ k o ◦ ʔ w a
714	Kulung	KUL	kir		kulu1253	bone	10	tupri	tupri	703	703:bone	20	0		1448	t u ◦ p r i
715	Geker	GEK	kar	Karen	geko1235	bone	10	tʃweiʔ.53	tʃweiʔ⁵³	703	703:bone	20	0	Geko Karen?	1448	tʃ w e i ʔ ⁵³
716	Phom	PHO	knyk		phom1236	bone	10	vaŋ	vaŋ	672	672:bone	20	0		1435	v a ŋ
717	Ao-Mongsen	AOM	naga	Naga (Ao_Naga)	mong1332	bone	10	terat	terat	703	703:bone	20	0	Naga Ao	1448	t e ◦ r a t
718	Sherpa	SHE	tib	Sherpa	sher1255	bone	10	rok. LR	rok_LR	703	703:bone	20	0	Solu-Khumbu Sherpa	1448	r o k
719	Rawang	RAW	trun		rawa1265	bone	10	šərer	šərer	703	703:bone	20	0		1448	ʃ ə ◦ r e r
720	Wancho	WAN	knyk		wanc1238	bone	10	hora	hora	637	637:bone	20	0		1420	h o ◦ r a
721	Bokar	BOK	tani		bori1243	bone	10	loŋ poŋ	loŋ_poŋ	1857	1857:bone	20	0	Stage 2	434	l o ŋ _ p o ŋ
722	Rabha	RAB	bodo		rabh1238	bone	10	kiŋ-ʒuŋ	kiŋ-ʒuŋ	672	672:bone	20	0		1435	k i ŋ + ʒ u ŋ
723	Hmar	HMA	chin		hmar1241	bone	10	ru	ru	84	84:bone	20	0		1499	r u
724	Nusu	NUS	nung		nusu1239	bone	10	jrɨ.55	jrɨ⁵⁵	703	703:bone	20	0	Stage 2	1448	j r ɨ ⁵⁵
725	Geba	GEB	kar	Karen	geba1237	bone	10	khwĩʔ.53	khwĩʔ⁵³	703	703:bone	20	0		1448	kʰ w ĩ ∼ ʔ ⁵³
726	Manu	MNU	kar	Karen	manu1255	bone	10	khwi.44	khwi⁴⁴	703	703:bone	20	0	Manumanaw Karen	1448	kʰ w i ⁴⁴
727	Alike Tibetan	ALI	tib		amdo1237	bone	10	rə pä	rə_pä	703	703:bone	20	0		1448	r ə _ p æ
728	Shixing	SHI	syc		shix1238	bone	10	ćɨ.55 ər.33	ćɨ⁵⁵_ər³³	703	703:bone	20	0		1448	tsʲ ɨ ⁵⁵ ◦ ə r ³³
729	Aka	AKA	aka		akha1245	bone	10	erbye	erbye	1857	1857:bone	20	0		434	e r ◦ b y e
730	Nocte	NOC	knyk		noct1238	bone	10	ara	ara	637	637:bone	20	0		1420	a ◦ r a
731	Ninglang-Naxi	NIN	bur	Naxi	naxi1245	bone	10	ṣa.33 ŋv.13	ṣa³³_ŋv¹³	703	703:bone	20	0	belong to western Naxi, no glottolog entry so I use naxi1245.	1448	ʂ a ³³ ◦ ŋ v ¹³
732	Khaling	KLN	kir		khal1275	bone	10	solu.H	soluH	703	703:bone	20	0		1448	s o ◦ l u
733	W. Kayah	KYH	kar	Karen	west2409	bone	10	krui.55	krui⁵⁵	703	703:bone	20	0	Kayah Western	1448	k r u i ⁵⁵
734	Written Tibetan	WRT	tib	Tibetan	tibe1272	bone	10	rus pa	rus_pa	703	703:bone	20	0		1448	r u s _ p a
735	Nishi	NIS	tani	Nysha	nisi1238	bone	10	alo	alo	1857	1857:bone	20	0	Nisi?	434	a ◦ l o
736	Batang Tibetan	BAT	tib		kham1282	bone	10	zö.13 pa.53	zö¹³_pa⁵³	703	703:bone	20	0		1448	z ö ¹³ ◦ p a ⁵³
737	Dumi	DUM	kir		dumi1241	bone	10	sa:lu	saːlu	703	703:bone	20	0		1448	s aː ◦ l u
738	Gurung	GUR	gur		guru1261	bone	10	xri.3=ba	xri³ba	703	703:bone	20	0		1448	x r i ³ ◦ b a
739	Lhasa Tibetan	LHA	tib	Tibetan	tibe1272	bone	10	rü.13 pə.55	rü¹³_pə⁵⁵	703	703:bone	20	0		1448	r y ¹³ ◦ p ə ⁵⁵
740	Garo	GAR	bodo	Garo	garo1247	bone	10	greŋ	greŋ	672	672:bone	20	0		1435	g r e ŋ
741	Limbu	LIM	kir		limb1266	bone	10	yɛʔl	yɛʔl	703	703:bone	20	0		1448	y ɛ ʔ l
742	Upper-Bangni	UBA	tani		bang1338	bone	10	alo	alo	1857	1857:bone	20	0		434	a ◦ l o
743	Leqi	LEQ	bur		lash1243	bone	10	ʃŏ.55 jou.33	ʃŏ⁵⁵_jou³³	703	703:bone	20	0		1448	ʃ o ⁵⁵ ◦ j o u ³³
744	Hakka	HKK	sino	Hakka	hakk1236	bone	10	gut5 teu2	gut⁵_teu²	2248	2248:bone	20	0		560	g u t ⁵ ◦ t e u ²
745	Motuo-M	MOT	mot	Tibetan	dakp1242	bone	10	khaŋ	khaŋ	672	672:bone	20	0	Tawang Monpa, Dakpakha?	1435	kʰ a ŋ
746	Tujia	TUJ	tujia	Tujia	nort2732	bone	10	lu.1 ka.1	lu¹_ka¹	1857	1857:bone	20	0	Northern Tujia [nort2732] & Southern Tujia [sout2739]	434	l u ¹ ◦ k a ¹
747	Beijing	PEK	sino	CHB	mand1415	bone	10	gǔ=tou 骨śY	gǔtou_śY	2248	2248:bone	20	0		560	g u ◦ t o u
748	Zhaba	ZHA	syc		zhab1238	bone	10	ʃŏ.21 vui.21	ʃŏ²¹_vui²¹	703	703:bone	20	0	Stage 2	1448	ʃ o ²¹ ◦ v u i ²¹
749	Kaike	KAY	kay		kaik1246	bone	10	shu=ru	shuru	703	703:bone	20	0		1448	sʰ u ◦ r u
750	Yintale	YIN	kar	Karen	yint1235	bone	10	khwei.55	khwei⁵⁵	703	703:bone	20	0	Yintale Karen	1448	kʰ w e i ⁵⁵
751	Jinuo	JIN	bur	Jinuo	youl1235	bone	10	ʃɔ.44 ɣɨ.44	ʃɔ⁴⁴_ɣɨ⁴⁴	703	703:bone	20	0	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])	1448	ʃ ɔ ⁴⁴ ◦ ɣ ɨ ⁴⁴
752	Serdukpen	SER	sul		sher1257	bone	10	skit	skit	2248	2248:bone	20	0	Stage 2	560	s k i t
753	Namuzi	NAM	syc		namu1246	bone	10	ṣa.55 qa.55	ṣa⁵⁵_qa⁵⁵	4015	4015:bone	20	0		889	ʂ a ⁵⁵ ◦ q a ⁵⁵
754	Xiaxe Tibetan	XIA	tib		amdo1237	bone	10	rə pa	rə_pa	703	703:bone	20	0		1448	r ə _ p a
755	Lüsu	LUS	syc		lisu1250	bone	10	ər.33 khuo.53	ər³³_khuo⁵³	703	703:bone	20	0		1448	ə r ³³ ◦ kʰ u o ⁵³
756	Yimchunrü	YIM	naga	Naga (Ao_Naga)	yimc1240	bone	10	ro=reaŋ	roreaŋ	703	703:bone	20	0	Naga Yimchungru	1448	r o ◦ r e a ŋ
757	Liangmai	LIA	naga		lian1251	bone	10	parah	parah	703	703:bone	20	0		1448	p a ◦ r a h
758	Dimasa	DIM	bodo		dima1251	bone	10	begereŋ	begereŋ	672	672:bone	20	0		1435	b e ◦ g e ◦ r e ŋ
759	Yeinbaw	YEI	kar	Karen	yinb1236	bone	10	ʃhwe.55	ʃhwe⁵⁵	703	703:bone	20	0	Yinbaw Karen	1448	ʃʰ w e ⁵⁵
760	N-Qiang	QIA	syc		nort2722	bone	10	ər pac̣	ər_pac̣	703	703:bone	20	0	Stage 2	1448	ə r _ p a tʂ
761	Lijiang-Naxi	LIJ	bur	Naxi	lich1241	bone	10	so.33 lo.33	so³³_lo³³	703	703:bone	20	0	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245	1448	s o ³³ ◦ l o ³³
762	Zeme	ZEM	naga		zeme1240	bone	10	pera	pera	703	703:bone	20	0		1448	p e ◦ r a
763	Jingpo	JNP	jnp		kach1280	bone	10	n.33 ʒa.33	n³³_ʒa³³	637	637:bone	20	0	Jinghpaw; Stage 2	1420	n ³³ ◦ ʒ a ³³
764	Bodo	BOD	bodo		bodo1269	bone	10	be=zeʔŋ, be=geŋ	bezeʔŋ	672	672:bone	20	0		1435	b e ◦ z e ʔ ŋ
765	Fuzhou	FUZ	sino	Han	mind1253	bone	10	kouk23	kouk²³	2248	2248:bone	20	0		560	k o u k ² ◦ ³
766	Burmese	WRB	bur	Burmese	nucl1310	bone	10	a.rui:	aruiː	703	703:bone	20	0		1448	a ◦ r u iː
767	Horpa	DAO	syc		horp1239	bone	10	rə ra	rə_ra	703	703:bone	20	0		1448	r ə _ r a
768	Ao-Chungli	AOC	naga	Naga (Ao_Naga)	chon1286	bone	10	terat	terat	703	703:bone	20	0	Naga Ao	1448	t e ◦ r a t
769	Padam	PAD	tani		pada1257	bone	10	a-loŋ	a-loŋ	1857	1857:bone	19	0		434	a + l o ŋ
770	Bola	BOL	bur		pela1242	bone	10	ʃă.35 u.31	ʃă³⁵_u³¹	703	703:bone	20	0		1448	ʃ a ³⁵ ◦ u ³¹
771	Guiqiong	GUI	syc		guiq1238	bone	10	wü.55 wü.55	wü⁵⁵_wü⁵⁵	703	703:bone	20	0		1448	w y ⁵⁵ ◦ w y ⁵⁵
772	Gangte	GAN	chin		gang1266	bone	10	guh	guh	84	84:bone	20	0		1499	g u h
773	Pochuri	POC	naga		poch1243	bone	10	arɨ	arɨ	703	703:bone	20	0		1448	a ◦ r ɨ
774	Quueyu	QUE	syc		quey1238	breast	11	ŋi.55 nɛ.55	ŋi⁵⁵_nɛ⁵⁵	593	593:breast	20	0		1399	ŋ i ⁵⁵ ◦ n ɛ ⁵⁵
775	Dhimal	DHI	dhim		dhim1246	breast	11	tumta	tumta	951	951:breast	20	0		1537	t u m ◦ t a
776	Apatari	APA	tani		apat1240	breast	11	ańíŋ	ańíŋ	593	593:breast	20	0		1399	a ◦ nʲ i ŋ
777	Jianchuan Bai	BAI	sino		jian1239	breast	11	pa2 [LB *po]	pa²_	-2	-2-9	20	1		99	p a ²
778	Jirel	JIR	tib		jire1238	breast	11	ṭhaŋ. L1	ṭhaŋ_L¹	1998	1998:breast	20	0		481	ʈ h a ŋ _ ¹
779	Old Chinese	OCH	sino	Han	oldc1244	breast	11	noʔ 乳	noʔ	593	593:breast	-10	0		1399	n o ʔ
780	Idu	IDU	idu		idum1241	breast	11	ńo.1 bi.2	ńo¹_bi²	593	593:breast	20	0		1399	nʲ o ¹ ◦ b i ²
781	Lhota	LHO	naga	Naga (Ao_Naga)	loth1237	breast	11	širo (GEM)	širo_	4023	4023:breast	20	0	Naga Lotha	895	ʃ i ◦ r o
782	Lushai	LSH	chin		lush1249	breast	11	hnu-te:	hnu-teː	593	593:breast	20	0		1399	h n u + t eː
783	Lepcha	LEP	lep		lepc1244	breast	11	nyen	nyen	573	573:breast	20	0		1385	n y e n
784	Rourou	ROU	nung		nusu1239	breast	11	[na.35] pho.42	_pho⁴²	2670	2670:breast	20	0		705	pʰ o ⁴²
785	Khezhama	KHE	naga		khez1235	breast	11	enu	enu	593	593:breast	20	0		1399	e ◦ n u
786	Dulong	DUL	trun		drun1238	breast	11	nu:ŋ.55	nuːŋ⁵⁵	593	593:breast	20	0		1399	n uː ŋ ⁵⁵
787	Tangkul	TAN	naga		tang1336	breast	11	naror	naror	593	593:breast	20	0		1399	n a ◦ r o r
788	Yamphu	YAM	kir		yamp1242	breast	11	nua	nua	593	593:breast	20	0		1399	n u a
789	Kulung	KUL	kir		kulu1253	breast	11	cu	cu	1666	1666:breast	20	0		360	ts u
790	Ersu	ERS	syc		ersu1241	breast	11	ńo.55 ńo.55	ńo⁵⁵_ńo⁵⁵	593	593:breast	20	0		1399	nʲ o ⁵⁵ ◦ nʲ o ⁵⁵
791	Phom	PHO	knyk		phom1236	breast	11	ama	ama	60	60:breast	20	0		1403	a ◦ m a
792	Ao-Mongsen	AOM	naga	Naga (Ao_Naga)	mong1332	breast	11	mama	mama	60	60:breast	20	0	Naga Ao	1403	m a ◦ m a
793	Sherpa	SHE	tib	Sherpa	sher1255	breast	11	num. LR	num_LR	593	593:breast	20	0	Solu-Khumbu Sherpa	1399	n u m
794	Rawang	RAW	trun		rawa1265	breast	11	nuŋ	nuŋ	593	593:breast	20	0		1399	n u ŋ
795	Wancho	WAN	knyk		wanc1238	breast	11	cham	cham	1503	1503:breast	20	0		293	tsʰ a m
796	Bokar	BOK	tani		bori1243	breast	11	a ću	a_ću	1666	1666:breast	20	0	Stage 2	360	a _ tsʲ u
797	Rabha	RAB	bodo		rabh1238	breast	11	nú	nú	593	593:breast	20	0		1399	n u
798	Hmar	HMA	chin		hmar1241	breast	11	a:wm	aːwm	2701	2701:breast	20	0		729	aː w m
799	Nusu	NUS	nung		nusu1239	breast	11	nɨ.55 nɨ.31 jɔ.	nɨ⁵⁵_nɨ³¹_jɔ	4020	4020:breast	20	0	Stage 2	893	n ɨ ⁵⁵ ◦ n ɨ ³¹ ◦ j ɔ
800	Alike Tibetan	ALI	tib		amdo1237	breast	11	nə mä	nə_mä	593	593:breast	20	0		1399	n ə _ m æ
801	Shixing	SHI	syc		shix1238	breast	11	ńu.55 ńu.33	ńu⁵⁵_ńu³³	593	593:breast	20	0		1399	nʲ u ⁵⁵ ◦ nʲ u ³³
802	Aka	AKA	aka		akha1245	breast	11	aphu	aphu	418	418:breast	20	0		1002	a ◦ pʰ u
803	Nocte	NOC	knyk		noct1238	breast	11	tankhu	tankhu	4291	4291:breast	20	0		1069	t a n ◦ kʰ u
804	Ninglang-Naxi	NIN	bur	Naxi	naxi1245	breast	11	ńu.31 bi.33	ńu³¹_bi³³	593	593:breast	20	0	belong to western Naxi, no glottolog entry so I use naxi1245.	1399	nʲ u ³¹ ◦ b i ³³
805	Khaling	KLN	kir		khal1275	breast	11	cünbren. L	cünbren_L	1666	1666:breast	20	0		360	ts y n ◦ b r e n _
806	Langsu-Maru	LAN	bur		maru1249	breast	11	nuk.55	nuk⁵⁵	593	593:breast	20	0		1399	n u k ⁵⁵
807	Written Tibetan	WRT	tib	Tibetan	tibe1272	breast	11	nu ma	nu_ma	593	593:breast	20	0		1399	n u _ m a
808	Nishi	NIS	tani	Nysha	nisi1238	breast	11	uchi	uchi	1666	1666:breast	20	0	Nisi?	360	u ◦ tsʰ i
809	Batang Tibetan	BAT	tib		kham1282	breast	11	ńâ.55 ńâʔ.5	ńâ⁵⁵_ńâʔ⁵	573	573:breast	20	0		1385	nʲ a ⁵⁵ ◦ nʲ a ʔ ⁵
810	Dumi	DUM	kir		dumi1241	breast	11	dɨdhɨ-kwam	dɨdhɨ-kwam	2701	2701:breast	20	0		729	d ɨ ◦ d h ɨ + k w a m
811	Gurung	GUR	gur		guru1261	breast	11	ŋxe	ŋxe	573	573:breast	20	0		1385	ŋ x e
812	Lhasa Tibetan	LHA	tib	Tibetan	tibe1272	breast	11	o.13 ma.55 EE	o¹³_ma⁵⁵_EE	593	593:breast	20	0		1399	o ¹³ ◦ m a ⁵⁵ ◦
813	Garo	GAR	bodo	Garo	garo1247	breast	11	cel	cel	2700	2700:breast	20	0		728	ts e l
814	Limbu	LIM	kir		limb1266	breast	11	nu	nu	593	593:breast	20	0		1399	n u
815	Upper-Bangni	UBA	tani		bang1338	breast	11	achu	achu	1666	1666:breast	20	0		360	a ◦ tsʰ u
816	Leqi	LEQ	bur		lash1243	breast	11	nou.55	nou⁵⁵	593	593:breast	20	0		1399	n o u ⁵⁵
817	Motuo-M	MOT	mot	Tibetan	dakp1242	breast	11	nu	nu	593	593:breast	20	0	Tawang Monpa, Dakpakha?	1399	n u
818	Tujia	TUJ	tujia	Tujia	nort2732	breast	11	man.4	man⁴	4531	4531:breast	20	0	Northern Tujia [nort2732] & Southern Tujia [sout2739]	1271	m a n ⁴
819	Beijing	PEK	sino	CHB	mand1415	breast	11	rǔ=fáŋ 乳房	rǔfáŋ	593	593:breast	20	0		1399	r u ◦ f a ŋ
820	Zhaba	ZHA	syc		zhab1238	breast	11	nau.55	nau⁵⁵	593	593:breast	20	0	Stage 2	1399	n a u ⁵⁵
821	Kaike	KAY	kay		kaik1246	breast	11	homã	homã	4531	4531:breast	20	0		1271	h o ◦ m ã ∼
822	Jinuo	JIN	bur	Jinuo	youl1235	breast	11	mɛ.44 po.42	mɛ⁴⁴_po⁴²	2670	2670:breast	20	0	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])	705	m ɛ ⁴⁴ ◦ p o ⁴²
823	Serdukpen	SER	sul		sher1257	breast	11	ńuŋ	ńuŋ	593	593:breast	20	0	Stage 2	1399	nʲ u ŋ
824	Namuzi	NAM	syc		namu1246	breast	11	ńy.33 ńy.55	ńy³³_ńy⁵⁵	593	593:breast	20	0		1399	nʲ y ³³ ◦ nʲ y ⁵⁵
825	Xiaxe Tibetan	XIA	tib		amdo1237	breast	11	nə ma	nə_ma	593	593:breast	20	0		1399	n ə _ m a
826	Lüsu	LUS	syc		lisu1250	breast	11	ʒ̣æ.33 ńü.53	ʒ̣æ³³_ńü⁵³	593	593:breast	20	0		1399	ʒ æ ³³ ◦ nʲ y ⁵³
827	Yimchunrü	YIM	naga	Naga (Ao_Naga)	yimc1240	breast	11	niu	niu	593	593:breast	20	0	Naga Yimchungru	1399	n i u
828	Liangmai	LIA	naga		lian1251	breast	11	tana	tana	593	593:breast	20	0		1399	t a ◦ n a
829	Dimasa	DIM	bodo		dima1251	breast	11	abo	abo	2670	2670:breast	20	0		705	a ◦ b o
830	N-Qiang	QIA	syc		nort2722	breast	11	pa pa	pa_pa	2670	2670:breast	20	0	Stage 2	705	p a _ p a
831	Lijiang-Naxi	LIJ	bur	Naxi	lich1241	breast	11	ə.55 po.31	ə⁵⁵_po³¹	2670	2670:breast	20	0	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245	705	ə ⁵⁵ ◦ p o ³¹
832	Zeme	ZEM	naga		zeme1240	breast	11	mituŋ	mituŋ	1121	1121:breast	20	0		145	m i ◦ t u ŋ
833	Jingpo	JNP	jnp		kach1280	breast	11	tšu̲ʔ.55	tšu̲ʔ⁵⁵	1666	1666:breast	20	0	Jinghpaw; Stage 2	360	t ʃ u ʔ ⁵⁵
834	Bodo	BOD	bodo		bodo1269	breast	11	abu	abu	2670	2670:breast	20	0		705	a ◦ b u
835	Burmese	WRB	bur	Burmese	nucl1310	breast	11	nui.	nui	593	593:breast	20	0		1399	n u i
836	Horpa	DAO	syc		horp1239	breast	11	łhə	łhə	4022	4022:breast	20	0		894	ɬ h ə
837	Ao-Chungli	AOC	naga	Naga (Ao_Naga)	chon1286	breast	11	mama	mama	60	60:breast	20	0	Naga Ao	1403	m a ◦ m a
838	Padam	PAD	tani		pada1257	breast	11	a-ńun	a-ńun	593	593:breast	19	0		1399	a + nʲ u n
839	Bola	BOL	bur		pela1242	breast	11	nau.35	nau³⁵	593	593:breast	20	0		1399	n a u ³⁵
840	Guiqiong	GUI	syc		guiq1238	breast	11	ni.55 ni.55	ni⁵⁵_ni⁵⁵	593	593:breast	20	0		1399	n i ⁵⁵ ◦ n i ⁵⁵
841	Gangte	GAN	chin		gang1266	breast	11	awm=pheŋ	awmpheŋ	2701	2701:breast	20	0		729	a w m ◦ pʰ e ŋ
842	Pochuri	POC	naga		poch1243	breast	11	atɨnɨ	atɨnɨ	593	593:breast	20	0		1399	a ◦ t ɨ ◦ n ɨ
843	Hmar	HMA	chin		hmar1241	breast	11	ne:=ne:	neːneː	573	573:breast	20	0		1385	n eː ◦ n eː
844	Hakka	HKK	sino	Hakka	hakk1236	breast	11	nen4 gu1	nen⁴_gu¹	573	573:breast	20	0		1385	n e n ⁴ ◦ g u ¹
845	Beijing	PEK	sino	CHB	mand1415	breast	11	nǎi 奶	nǎi	573	573:breast	20	0		1385	n a i
846	Fuzhou	FUZ	sino	Han	mind1253	breast	11	neiŋ52	neiŋ⁵²	573	573:breast	20	0		1385	n e i ŋ ⁵²
847	Quueyu	QUE	syc		quey1238	burn tr.	12	mbɛr.13 zo.55	mbɛr¹³_zo⁵⁵	442	442:burn tr.	20	0		1191	m b ɛ r ¹³ ◦ z o ⁵⁵
848	Dhimal	DHI	dhim		dhim1246	burn tr.	12	ti-	ti	2702	2702:burn tr.	20	0		730	t i
849	Apatari	APA	tani		apat1240	burn tr.	12	par	par	442	442:burn tr.	20	0		1191	p a r
850	Jianchuan Bai	BAI	sino		jian1239	burn tr.	12	ca.42 [Xiandao c̣ap?]	ca⁴²_	-4	-4-10	20	1		102	ts a ⁴²
851	Old Chinese	OCH	sino	Han	oldc1244	burn tr.	12	sŋeu 燒	sŋeu	2494	2494:burn tr.	-10	0		620	s ŋ e u
852	Lhota	LHO	naga	Naga (Ao_Naga)	loth1237	burn tr.	12	ro:ŋ	roːŋ	674	674:burn tr.	20	0	Naga Lotha	1436	r oː ŋ
853	Lushai	LSH	chin		lush1249	burn tr.	12	ha:l	haːl	2656	2656:burn tr.	20	0		701	h aː l
854	Lepcha	LEP	lep		lepc1244	burn tr.	12	făn	făn	47	47:burn tr.	20	0		1342	f a n
855	Sgaw	SGO	kar	Karen	sgaw1245	burn tr.	12	d̄wɛʔ.53 ʔu.44	d̄wɛʔ⁵³_ʔu⁴⁴	1086	1086:burn tr.	20	0		136	d̄ w ɛ ʔ ⁵³ ◦ ʔ u ⁴⁴
856	Rourou	ROU	nung		nusu1239	burn tr.	12	kha.42	kha⁴²	2656	2656:burn tr.	20	0		701	kʰ a ⁴²
857	Dulong	DUL	trun		drun1238	burn tr.	12	re:l.55	reːl⁵⁵	2656	2656:burn tr.	20	0		701	r eː l ⁵⁵
858	Tangkul	TAN	naga		tang1336	burn tr.	12	chui	chui	1170	1170:burn tr.	20	0		170	tsʰ u i
859	Pa'O	PAO	kar	Karen	paok1235	burn tr.	12	kho.55	kho⁵⁵	2656	2656:burn tr.	20	0		701	kʰ o ⁵⁵
860	Yamphu	YAM	kir		yamp1242	burn tr.	12	hiʔma	hiʔma	2609	2609:burn tr.	20	0		684	h i ◦ ʔ m a
861	Kulung	KUL	kir		kulu1253	burn tr.	12	khi-ma	khi-ma	4406	4406:burn tr.	20	0		1174	kʰ i + m a
862	Geker	GEK	kar	Karen	geko1235	burn tr.	12	ḍʒuʔ.53 kæʔ.5	ḍʒuʔ⁵³_kæʔ⁵	1170	1170:burn tr.	20	0	Geko Karen?	170	ɖʐ u ʔ ⁵³ ◦ k æ ʔ ⁵
863	Phom	PHO	knyk		phom1236	burn tr.	12	ʒak	ʒak	1294	1294:burn tr.	20	0		219	ʒ a k
864	Ao-Mongsen	AOM	naga	Naga (Ao_Naga)	mong1332	burn tr.	12	ruŋ	ruŋ	674	674:burn tr.	20	0	Naga Ao	1436	r u ŋ
865	Rawang	RAW	trun		rawa1265	burn tr.	12	whəR	whəR	2656	2656:burn tr.	20	0		701	w h ə
866	Wancho	WAN	knyk		wanc1238	burn tr.	12	van=suŋ, šun	vansuŋ	1170	1170:burn tr.	20	0		170	v a n ◦ s u ŋ
867	Nusu	NUS	nung		nusu1239	burn tr.	12	mrə̃r.53	mrə̃r⁵³	674	674:burn tr.	20	0	Stage 2	1436	m r ə̃ ◦ ∼ r ⁵³
868	Geba	GEB	kar	Karen	geba1237	burn tr.	12	b̄o.44 kəla.33	b̄o⁴⁴_kəla³³	1818	1818:burn tr.	20	0		416	b̄ o ⁴⁴ ◦ k ə ◦ l a ³³
869	Manu	MNU	kar	Karen	manu1255	burn tr.	12	ʃho.11	ʃho¹¹	1189	1189:burn tr.	20	0	Manumanaw Karen	175	ʃʰ o ¹¹
870	Alike Tibetan	ALI	tib		amdo1237	burn tr.	12	par	par	442	442:burn tr.	20	0		1191	p a r
871	Shixing	SHI	syc		shix1238	burn tr.	12	nga.31	nga³¹	2494	2494:burn tr.	20	0		620	ŋ a ³¹
872	Nocte	NOC	knyk		noct1238	burn tr.	12	thak	thak	1294	1294:burn tr.	20	0		219	tʰ a k
873	Ninglang-Naxi	NIN	bur	Naxi	naxi1245	burn tr.	12	ka.13	ka¹³	2656	2656:burn tr.	20	0	belong to western Naxi, no glottolog entry so I use naxi1245.	701	k a ¹³
874	Khaling	KLN	kir		khal1275	burn tr.	12	hannä	hannä	2609	2609:burn tr.	20	0		684	h a n ◦ n æ
875	W. Kayah	KYH	kar	Karen	west2409	burn tr.	12	i.11 shɨ.55	i¹¹_shɨ⁵⁵	1189	1189:burn tr.	20	0	Kayah Western	175	i ¹¹ ◦ sʰ ɨ ⁵⁵
876	Written Tibetan	WRT	tib	Tibetan	tibe1272	burn tr.	12	ãbar	ãbar	442	442:burn tr.	20	0		1191	ã ∼ ◦ b a r
877	Batang Tibetan	BAT	tib		kham1282	burn tr.	12	mba.35	mba³⁵	442	442:burn tr.	20	0		1191	m b a ³⁵
878	Dumi	DUM	kir		dumi1241	burn tr.	12	hɨt=nɨ	hɨtnɨ	2609	2609:burn tr.	20	0		684	h ɨ ◦ t n ɨ
879	Gurung	GUR	gur		guru1261	burn tr.	12	khrõ=ba:.2	khrõbaː²	674	674:burn tr.	20	0		1436	kʰ r õ ∼ ◦ b aː ²
880	Lhasa Tibetan	LHA	tib	Tibetan	tibe1272	burn tr.	12	par.13 EE	par¹³_EE	442	442:burn tr.	20	0		1191	p a r ¹³ ◦
881	Garo	GAR	bodo	Garo	garo1247	burn tr.	12	so-a	so-a	1170	1170:burn tr.	20	0		170	s o + a
