DOCULECT	GLOTTOCODE	CONCEPTICON_ID	CONCEPT	GLOSSID	FORM	COGID	TOKENS	NOTE
Pa'O	paok1235	221	FIRE	28	me³³	612	m e ³³	
W. Kayah	west2409	221	FIRE	28	mi¹¹	612	m i ¹¹	Kayah Western
Written Tibetan	tibe1272	221	FIRE	28	me	612	m e	
Ninglang-Naxi	naxi1245	221	FIRE	28	mv³³	612	m v ³³	belong to western Naxi, no glottolog entry so I use naxi1245.
Ao-Chungli	chon1286	221	FIRE	28	mi	612	m i	Naga Ao
Garo	garo1247	221	FIRE	28	wa-al	483	w a + a l	
Sherpa	sher1255	221	FIRE	28	me_LR	612	m e	Solu-Khumbu Sherpa
Manu	manu1255	221	FIRE	28	mi⁴⁴	612	m i ⁴⁴	Manumanaw Karen
Yeinbaw	yinb1236	221	FIRE	28	mi²²	612	m i ²²	Yinbaw Karen
Ao-Mongsen	mong1332	221	FIRE	28	mizɨ	612	m i z ɨ	Naga Ao
Yimchunrü	yimc1240	221	FIRE	28	mo	612	m o	Naga Yimchungru
Burmese	nucl1310	221	FIRE	28	miː	612	m iː	
Lhasa Tibetan	tibe1272	221	FIRE	28	me¹³	612	m e ¹³	
Kusunda	kusu1250	221	FIRE	34	dza	0	dz a	
Nishi	nisi1238	227	FISH	29	ŋuyi	265	ŋ u y i	Nisi?
Geker	geko1235	227	FISH	29	t̯aʔ⁵³	491	ʈ a ʔ ⁵³	Geko Karen?
Geba	geba1237	227	FISH	29	t̯a²²_pho⁴⁴	491	ʈ a ²² _ pʰ o ⁴⁴	
Lijiang-Naxi	lich1241	227	FISH	29	ńi³³	265	nʲ i ³³	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245
Jinuo	youl1235	227	FISH	29	ŋhɔ⁴⁴_ʃɔ⁴⁴	265	ŋʰ ɔ ⁴⁴ _ ʃ ɔ ⁴⁴	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])
Motuo-M	dakp1242	227	FISH	29	ŋa	265	ŋ a	Tawang Monpa, Dakpakha?
Sgaw	sgaw1245	227	FISH	29	ńãʔ⁵³	265	nʲ ã ∼ ʔ ⁵³	
Lhota	loth1237	227	FISH	29	oːŋo	265	oː ŋ o	Naga Lotha
Tujia	nort2732	227	FISH	29	soŋ³	265	s o ŋ ³	Northern Tujia [nort2732] & Southern Tujia [sout2739]
Yintale	yint1235	227	FISH	29	ta¹¹_phu⁵⁵	491	t a ¹¹ _ pʰ u ⁵⁵	Yintale Karen
Hill-Miri	nyis1236	227	FISH	29	ŋui	265	ŋ u i	
Pa'O	paok1235	227	FISH	29	thaʔ⁵⁵_pe²²	491	tʰ a ʔ ⁵⁵ _ p e ²²	
W. Kayah	west2409	227	FISH	29	tɛ̣³³	491	t ɛ̰ ³³	Kayah Western
Written Tibetan	tibe1272	227	FISH	29	ńa	265	nʲ a	
Ninglang-Naxi	naxi1245	227	FISH	29	ńi³³_zo³³	265	nʲ i ³³ _ z o ³³	belong to western Naxi, no glottolog entry so I use naxi1245.
Ao-Chungli	chon1286	227	FISH	29	aŋo	265	a ŋ o	Naga Ao
Garo	garo1247	227	FISH	29	na-tok	265	n a + t o k	
Sherpa	sher1255	227	FISH	29	ŋya_LF	265	ŋ y a	Solu-Khumbu Sherpa
Manu	manu1255	227	FISH	29	tɔ̣³³_pho⁴⁴	491	t ɔ̰ ³³ _ pʰ o ⁴⁴	Manumanaw Karen
Yeinbaw	yinb1236	227	FISH	29	tạ⁵⁵	491	t a̰ ⁵⁵	Yinbaw Karen
Ao-Mongsen	mong1332	227	FISH	29	aŋa	265	a ŋ a	Naga Ao
Yimchunrü	yimc1240	227	FISH	29	thɨŋɨ	265	tʰ ɨ ŋ ɨ	Naga Yimchungru
Burmese	nucl1310	227	FISH	29	ŋaː	265	ŋ aː	
Lhasa Tibetan	tibe1272	227	FISH	29	ńa¹⁵	265	nʲ a ¹⁵	
Kusunda	kusu1250	227	FISH	41	nsa	0	ns a	
Nishi	nisi1238	1441	FLY (MOVE THROUGH AIR)	30	ʒe-	73	ʒ e +	Nisi?
Geker	geko1235	1441	FLY (MOVE THROUGH AIR)	30	jiː³³	100	j iː ³³	Geko Karen?
Geba	geba1237	1441	FLY (MOVE THROUGH AIR)	30	ʔəxwi³³	21	ʔ ə x w i ³³	
Lijiang-Naxi	lich1241	1441	FLY (MOVE THROUGH AIR)	30	mbi³¹	331	m b i ³¹	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245
Jinuo	youl1235	1441	FLY (MOVE THROUGH AIR)	30	prɛ⁴²	331	p r ɛ ⁴²	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])
Motuo-M	dakp1242	1441	FLY (MOVE THROUGH AIR)	30	phen	363	pʰ e n	Tawang Monpa, Dakpakha?
Sgaw	sgaw1245	1441	FLY (MOVE THROUGH AIR)	30	ju³³_lə⁴⁴_mu	100	j u ³³ _ l ə ⁴⁴ _ m u	
Lhota	loth1237	1441	FLY (MOVE THROUGH AIR)	30	phyai	363	pʰ y a i	Naga Lotha
Tujia	nort2732	1441	FLY (MOVE THROUGH AIR)	30	za¹	73	z a ¹	Northern Tujia [nort2732] & Southern Tujia [sout2739]
Yintale	yint1235	1441	FLY (MOVE THROUGH AIR)	30	ju³³	100	j u ³³	Yintale Karen
Hill-Miri	nyis1236	1441	FLY (MOVE THROUGH AIR)	30	ʒar	73	ʒ a r	
Pa'O	paok1235	1441	FLY (MOVE THROUGH AIR)	30	kwaŋ²²	21	k w a ŋ ²²	
W. Kayah	west2409	1441	FLY (MOVE THROUGH AIR)	30	źɨə̣¹¹	100	zʲ ɨ ə̰ ¹¹	Kayah Western
Written Tibetan	tibe1272	1441	FLY (MOVE THROUGH AIR)	30	ãphur	363	ã ∼ pʰ u r	
Ninglang-Naxi	naxi1245	1441	FLY (MOVE THROUGH AIR)	30	ʒe¹³	331	ʒ e ¹³	belong to western Naxi, no glottolog entry so I use naxi1245.
Ao-Chungli	chon1286	1441	FLY (MOVE THROUGH AIR)	30	ima-ao	605	i m a + a o	Naga Ao
Garo	garo1247	1441	FLY (MOVE THROUGH AIR)	30	bila	363	b i l a	
Sherpa	sher1255	1441	FLY (MOVE THROUGH AIR)	30	phur_LR-	363	pʰ u r +	Solu-Khumbu Sherpa
Manu	manu1255	1441	FLY (MOVE THROUGH AIR)	30	ßị¹¹	100	s ḭ ¹¹	Manumanaw Karen
Yeinbaw	yinb1236	1441	FLY (MOVE THROUGH AIR)	30	źṿ⁵⁵	100	zʲ v̩ ⁵⁵	Yinbaw Karen
Ao-Mongsen	mong1332	1441	FLY (MOVE THROUGH AIR)	30	yem	605	y e m	Naga Ao
Burmese	nucl1310	1441	FLY (MOVE THROUGH AIR)	30	pjam	331	p j a m	
Lhasa Tibetan	tibe1272	1441	FLY (MOVE THROUGH AIR)	30	phir⁵⁵	363	pʰ i r ⁵⁵	
Kusunda	kusu1250	1441	FLY (MOVE THROUGH AIR)	29	o̤	0	o̤	
Nishi	nisi1238	1301	FOOT	31	al	147	a l	Nisi?
Geker	geko1235	1301	FOOT	31	kəja²²_laʔ⁵³	147	k ə j a ²² _ l a ʔ ⁵³	Geko Karen?
Geba	geba1237	1301	FOOT	31	kha²²_ʔi⁴⁴_ṭa	222	kʰ a ²² _ ʔ i ⁴⁴ _ ʈ a	
Lijiang-Naxi	lich1241	1301	FOOT	31	khɨ³³	241	kʰ ɨ ³³	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245
Jinuo	youl1235	1301	FOOT	31	ʃɔ³³_khi⁴⁴	241	ʃ ɔ ³³ _ kʰ i ⁴⁴	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])
Motuo-M	dakp1242	1301	FOOT	31	bi	594	b i	Tawang Monpa, Dakpakha?
Sgaw	sgaw1245	1301	FOOT	31	khɔʔ⁵³_lãʔ⁵³	222	kʰ ɔ ʔ ⁵³ _ l ã ∼ ʔ ⁵³	
Lhota	loth1237	1301	FOOT	31	mpo	594	m p o	Naga Lotha
Tujia	nort2732	1301	FOOT	31	ći⁴	241	tsʲ i ⁴	Northern Tujia [nort2732] & Southern Tujia [sout2739]
Yintale	yint1235	1301	FOOT	31	kha¹¹_dau⁵⁵_l	222	kʰ a ¹¹ _ d a u ⁵⁵ _ l	Yintale Karen
Hill-Miri	nyis1236	1301	FOOT	31	ale	147	a l e	
Pa'O	paok1235	1301	FOOT	31	khaŋ³³_ja²²	222	kʰ a ŋ ³³ _ j a ²²	
W. Kayah	west2409	1301	FOOT	31	kha³³_dɨə¹¹	222	kʰ a ³³ _ d ɨ ə ¹¹	Kayah Western
Written Tibetan	tibe1272	1301	FOOT	31	rkaŋ_pa	222	r k a ŋ _ p a	
Ninglang-Naxi	naxi1245	1301	FOOT	31	khɨ³¹_chə¹³	241	kʰ ɨ ³¹ _ tsʰ ə ¹³	belong to western Naxi, no glottolog entry so I use naxi1245.
Ao-Chungli	chon1286	1301	FOOT	31	tecuŋ	323	t e ts u ŋ	Naga Ao
Garo	garo1247	1301	FOOT	31	ja-a	147	j a + a	
Sherpa	sher1255	1301	FOOT	31	kaŋ→bɛHF	222	k a ŋ + b ɛ	Solu-Khumbu Sherpa
Manu	manu1255	1301	FOOT	31	khɔ⁴⁴_pøə³³	222	kʰ ɔ ⁴⁴ _ p ø ə ³³	Manumanaw Karen
Yeinbaw	yinb1236	1301	FOOT	31	kə̃¹¹_khu⁵⁵	222	k ə̃ ∼ ¹¹ _ kʰ u ⁵⁵	Yinbaw Karen
Ao-Mongsen	mong1332	1301	FOOT	31	techaŋ	323	t e tsʰ a ŋ	Naga Ao
Yimchunrü	yimc1240	1301	FOOT	31	chiŋ	323	tsʰ i ŋ	Naga Yimchungru
Burmese	nucl1310	1301	FOOT	31	khre	241	kʰ r e	
Lhasa Tibetan	tibe1272	1301	FOOT	31	kaŋ⁵⁵_pa⁵⁵	222	k a ŋ ⁵⁵ _ p a ⁵⁵	
Nishi	nisi1238	1429	FULL	32	bɨr	382	b ɨ r	Nisi?
Geker	geko1235	1429	FULL	32	b̄we⁵⁵	310	b̄ w e ⁵⁵	Geko Karen?
Geba	geba1237	1429	FULL	32	pwɛ⁴⁴_thãʔ⁵³	310	p w ɛ ⁴⁴ _ tʰ ã ∼ ʔ ⁵³	
Lijiang-Naxi	lich1241	1429	FULL	32	ṣər⁵⁵	121	ʂ ə r ⁵⁵	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245
Jinuo	youl1235	1429	FULL	32	prə³³	152	p r ə ³³	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])
Sgaw	sgaw1245	1429	FULL	32	p̯wẹ³³	310	p̯ w ḛ ³³	
Lhota	loth1237	1429	FULL	32	phyaŋa	310	pʰ y a ŋ a	Naga Lotha
Tujia	nort2732	1429	FULL	32	man²_CHIN	14	m a n ² _	Northern Tujia [nort2732] & Southern Tujia [sout2739]
Yintale	yint1235	1429	FULL	32	pwɛ⁵⁵	310	p w ɛ ⁵⁵	Yintale Karen
Hill-Miri	nyis1236	1429	FULL	32	bu-ne	152	b u + n e	
Pa'O	paok1235	1429	FULL	32	boj⁴⁴	310	b o j ⁴⁴	
W. Kayah	west2409	1429	FULL	32	ba³³	310	b a ³³	Kayah Western
Written Tibetan	tibe1272	1429	FULL	32	gaŋ_ba	273	g a ŋ _ b a	
Ninglang-Naxi	naxi1245	1429	FULL	32	ṣu¹³	121	ʂ u ¹³	belong to western Naxi, no glottolog entry so I use naxi1245.
Ao-Chungli	chon1286	1429	FULL	32	asuŋ	57	a s u ŋ	Naga Ao
Garo	garo1247	1429	FULL	32	gapa	271	g a p a	
Sherpa	sher1255	1429	FULL	32	kaṭikiHR	273	k a ʈ i k i	Solu-Khumbu Sherpa
Manu	manu1255	1429	FULL	32	biɛ³³	310	b i ɛ ³³	Manumanaw Karen
Yeinbaw	yinb1236	1429	FULL	32	bwai⁵⁵	310	b w a i ⁵⁵	Yinbaw Karen
Ao-Mongsen	mong1332	1429	FULL	32	suŋa	57	s u ŋ a	Naga Ao
Yimchunrü	yimc1240	1429	FULL	32	khi	271	kʰ i	Naga Yimchungru
Burmese	nucl1310	1429	FULL	32	prań	152	p r a nʲ	
Lhasa Tibetan	tibe1272	1429	FULL	32	khaŋ⁵²_pa_T	273	kʰ a ŋ ⁵² _ p a _	
Nishi	nisi1238	1447	GIVE	33	ʒi	188	ʒ i	Nisi?
Geker	geko1235	1447	GIVE	33	phəiʔ⁵³	188	pʰ ə i ʔ ⁵³	Geko Karen?
Geba	geba1237	1447	GIVE	33	ʔi³³	513	ʔ i ³³	
Lijiang-Naxi	lich1241	1447	GIVE	33	źə⁵⁵_EE	188	zʲ ə ⁵⁵ _	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245
Jinuo	youl1235	1447	GIVE	33	pi⁴⁴	188	p i ⁴⁴	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])
Motuo-M	dakp1242	1447	GIVE	33	ge	208	g e	Tawang Monpa, Dakpakha?
Sgaw	sgaw1245	1447	GIVE	33	heːʔ⁵³_lɔ³³	494	h eː ʔ ⁵³ _ l ɔ ³³	
Lhota	loth1237	1447	GIVE	33	pi-	188	p i +	Naga Lotha
Tujia	nort2732	1447	GIVE	33	lie³	149	l i e ³	Northern Tujia [nort2732] & Southern Tujia [sout2739]
Yintale	yint1235	1447	GIVE	33	dɛ³¹	627	d ɛ ³¹	Yintale Karen
Hill-Miri	nyis1236	1447	GIVE	33	ʒi	188	ʒ i	
Pa'O	paok1235	1447	GIVE	33	phe³³	188	pʰ e ³³	
W. Kayah	west2409	1447	GIVE	33	die⁵⁵	627	d i e ⁵⁵	Kayah Western
Written Tibetan	tibe1272	1447	GIVE	33	ster	627	s t e r	
Ninglang-Naxi	naxi1245	1447	GIVE	33	ki³²_EE	188	k i ³² _	belong to western Naxi, no glottolog entry so I use naxi1245.
Ao-Chungli	chon1286	1447	GIVE	33	agɨ→cɨ	188	a g ɨ + ts ɨ	Naga Ao
Garo	garo1247	1447	GIVE	33	on-a	523	o n + a	
Sherpa	sher1255	1447	GIVE	33	ter_LF-	627	t e r +	Solu-Khumbu Sherpa
Manu	manu1255	1447	GIVE	33	i³³	513	i ³³	Manumanaw Karen
Yeinbaw	yinb1236	1447	GIVE	33	phi²²	188	pʰ i ²²	Yinbaw Karen
Ao-Mongsen	mong1332	1447	GIVE	33	khi	208	kʰ i	Naga Ao
Yimchunrü	yimc1240	1447	GIVE	33	ʒi,_chi	188	ʒ i	Naga Yimchungru
Burmese	nucl1310	1447	GIVE	33	peː	188	p eː	
Lhasa Tibetan	tibe1272	1447	GIVE	33	teː⁵⁵	627	t eː ⁵⁵	
Motuo-M	dakp1242	1447	GIVE	33	bi	188	b i	Tawang Monpa, Dakpakha?
Written Tibetan	tibe1272	1447	GIVE	33	sbjin	188	s b j i n	
Lhasa Tibetan	tibe1272	1447	GIVE	33	ćɛ⁵²	188	tsʲ ɛ ⁵²	
Kusunda	kusu1250	1447	GIVE	137	igo	0	i g o	
Nishi	nisi1238	1035	GOOD	34	alpa	146	a l p a	Nisi?
Geker	geko1235	1035	GOOD	34	rəoʔ⁵³	375	r ə o ʔ ⁵³	Geko Karen?
Geba	geba1237	1035	GOOD	34	ʔəʔɛ̃ʔ⁵³	514	ʔ ə ʔ ɛ̃ ∼ ʔ ⁵³	
Lijiang-Naxi	lich1241	1035	GOOD	34	ka³³	249	k a ³³	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245
Jinuo	youl1235	1035	GOOD	34	mə⁴⁴	635	m ə ⁴⁴	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])
Motuo-M	dakp1242	1035	GOOD	34	lek_pu_TIB	15	l e k _ p u _	Tawang Monpa, Dakpakha?
Sgaw	sgaw1245	1035	GOOD	34	ɣe³³	375	ɣ e ³³	
Lhota	loth1237	1035	GOOD	34	mhoːm	635	mʰ oː m	Naga Lotha
Tujia	nort2732	1035	GOOD	34	cha³	83	tsʰ a ³	Northern Tujia [nort2732] & Southern Tujia [sout2739]
Yintale	yint1235	1035	GOOD	34	dʒɨ⁵⁵	43	dʒ ɨ ⁵⁵	Yintale Karen
Hill-Miri	nyis1236	1035	GOOD	34	al-nə	146	a l + n ə	
Pa'O	paok1235	1035	GOOD	34	hau⁴²	375	h a u ⁴²	
W. Kayah	west2409	1035	GOOD	34	ria⁵⁵	375	r i a ⁵⁵	Kayah Western
Written Tibetan	tibe1272	1035	GOOD	34	legs_pa	162	l e g s _ p a	
Ninglang-Naxi	naxi1245	1035	GOOD	34	ʒ́ə³¹	43	ʒʲ ə ³¹	belong to western Naxi, no glottolog entry so I use naxi1245.
Ao-Chungli	chon1286	1035	GOOD	34	taʒuŋ	43	t a ʒ u ŋ	Naga Ao
Garo	garo1247	1035	GOOD	34	nama	579	n a m a	
Sherpa	sher1255	1035	GOOD	34	lye→mu_LF__EE	162	l y e + m u _	Solu-Khumbu Sherpa
Manu	manu1255	1035	GOOD	34	wɛ³³_lẹ¹¹	492	w ɛ ³³ _ l ḛ ¹¹	Manumanaw Karen
Yeinbaw	yinb1236	1035	GOOD	34	rau⁵⁵	375	r a u ⁵⁵	Yinbaw Karen
Ao-Mongsen	mong1332	1035	GOOD	34	tɨpoŋ	390	t ɨ p o ŋ	Naga Ao
Yimchunrü	yimc1240	1035	GOOD	34	acɨ	83	a ts ɨ	Naga Yimchungru
Burmese	nucl1310	1035	GOOD	34	kauŋː	408	k a u ŋː	
Lhasa Tibetan	tibe1272	1035	GOOD	34	lek¹³_po⁵⁵	16	l e k ¹³ _ p o ⁵⁵	
Nishi	nisi1238	1035	GOOD	34	alpa	245	a l p a	Nisi?
Written Tibetan	tibe1272	1035	GOOD	34	jag_po	95	j a g _ p o	
Lhasa Tibetan	tibe1272	1035	GOOD	34	ja¹³_ko⁵⁵	95	j a ¹³ _ k o ⁵⁵	
Kusunda	kusu1250	1035	GOOD	125	win	0	w i n	
Geker	geko1235	1425	GREEN	35	ʔəṭɨ⁵⁵	324	ʔ ə ʈ ɨ ⁵⁵	Geko Karen?
Geba	geba1237	1425	GREEN	35	ʔəklõʔ⁵³	193	ʔ ə k l õ ∼ ʔ ⁵³	
Lijiang-Naxi	lich1241	1425	GREEN	35	χər³¹	409	χ ə r ³¹	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245
Jinuo	youl1235	1425	GREEN	35	a³³_ńu⁴⁴_lu	269	a ³³ _ nʲ u ⁴⁴ _ l u	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])
Motuo-M	dakp1242	1425	GREEN	35	ʒ́aŋ_khu_TIB?	17	ʒʲ a ŋ _ kʰ u _	Tawang Monpa, Dakpakha?
Sgaw	sgaw1245	1425	GREEN	35	ʔəla⁴⁴	508	ʔ ə l a ⁴⁴	
Lhota	loth1237	1425	GREEN	35	thoːwoːna	454	tʰ oː w oː n a	Naga Lotha
Tujia	nort2732	1425	GREEN	35	lu³_CHIN	18	l u ³ _	Northern Tujia [nort2732] & Southern Tujia [sout2739]
Yintale	yint1235	1425	GREEN	35	tə¹¹_ŋa³³	269	t ə ¹¹ _ ŋ a ³³	Yintale Karen
Pa'O	paok1235	1425	GREEN	35	ʔa-khio²²	193	ʔ a + kʰ i o ²²	
W. Kayah	west2409	1425	GREEN	35	ćɨə⁴⁴	324	tsʲ ɨ ə ⁴⁴	Kayah Western
Written Tibetan	tibe1272	1425	GREEN	35	lʒ́aŋ_khu	193	ɮʲ a ŋ _ kʰ u	
Ninglang-Naxi	naxi1245	1425	GREEN	35	χər³¹	409	χ ə r ³¹	belong to western Naxi, no glottolog entry so I use naxi1245.
Ao-Chungli	chon1286	1425	GREEN	35	taʒɨm	82	t a ʒ ɨ m	Naga Ao
Garo	garo1247	1425	GREEN	35	taŋsek	325	t a ŋ s e k	
Sherpa	sher1255	1425	GREEN	35	ŋon→buHF	269	ŋ o n + b u	Solu-Khumbu Sherpa
Manu	manu1255	1425	GREEN	35	su¹¹	324	s u ¹¹	Manumanaw Karen
Yeinbaw	yinb1236	1425	GREEN	35	θɨ⁴⁴	324	θ ɨ ⁴⁴	Yinbaw Karen
Ao-Mongsen	mong1332	1425	GREEN	35	tɨpu	326	t ɨ p u	Naga Ao
Burmese	nucl1310	1425	GREEN	35	cimː	82	ts i mː	
Lhasa Tibetan	tibe1272	1425	GREEN	35	ćəŋ¹³_ku⁵⁵	193	tsʲ ə ŋ ¹³ _ k u ⁵⁵	
Nishi	nisi1238	1040	HAIR	36	dum	32	d u m	Nisi?
Geker	geko1235	1040	HAIR	36	kulo²²	495	k u l o ²²	Geko Karen?
Geba	geba1237	1040	HAIR	36	kho²²_khu⁴⁴_l	495	kʰ o ²² _ kʰ u ⁴⁴ _ l	
Lijiang-Naxi	lich1241	1040	HAIR	36	_fv³³	283	f v ³³	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245
Jinuo	youl1235	1040	HAIR	36	chɛ⁴⁴_khə⁴⁴	56	tsʰ ɛ ⁴⁴ _ kʰ ə ⁴⁴	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])
Motuo-M	dakp1242	1040	HAIR	36	cham	56	tsʰ a m	Tawang Monpa, Dakpakha?
Sgaw	sgaw1245	1040	HAIR	36	khọʔ⁵³_ṭu⁴⁴	522	kʰ o̰ ʔ ⁵³ _ ʈ u ⁴⁴	
Lhota	loth1237	1040	HAIR	36	oːcã	56	oː ts ã ∼	Naga Lotha
Tujia	nort2732	1040	HAIR	36	sa³_ćhi¹	56	s a ³ _ tsʲʰ i ¹	Northern Tujia [nort2732] & Southern Tujia [sout2739]
Yintale	yint1235	1040	HAIR	36	khu³³_lau¹¹	495	kʰ u ³³ _ l a u ¹¹	Yintale Karen
Hill-Miri	nyis1236	1040	HAIR	36	odum	32	o d u m	
Pa'O	paok1235	1040	HAIR	36	kə³³_lu¹¹	495	k ə ³³ _ l u ¹¹	
W. Kayah	west2409	1040	HAIR	36	khu¹¹_lɨə̣¹¹	495	kʰ u ¹¹ _ l ɨ ə̰ ¹¹	Kayah Western
Written Tibetan	tibe1272	1040	HAIR	36	skra	582	s k r a	
Ninglang-Naxi	naxi1245	1040	HAIR	36	_χu³³̃	283	χ u ³³	belong to western Naxi, no glottolog entry so I use naxi1245.
Ao-Chungli	chon1286	1040	HAIR	36	ku	283	k u	Naga Ao
Garo	garo1247	1040	HAIR	36	kni	568	k n i	
Sherpa	sher1255	1040	HAIR	36	rhaHR	582	rʰ a	Solu-Khumbu Sherpa
Manu	manu1255	1040	HAIR	36	kho³³_lø̣ə¹¹	495	kʰ o ³³ _ l ø̰ ə ¹¹	Manumanaw Karen
Yeinbaw	yinb1236	1040	HAIR	36	kəlụ³³	495	k ə l ṵ ³³	Yinbaw Karen
Ao-Mongsen	mong1332	1040	HAIR	36	kowa	278	k o w a	Naga Ao
Yimchunrü	yimc1240	1040	HAIR	36	kɨ-ɨpɨ	283	k ɨ + ɨ p ɨ	Naga Yimchungru
Burmese	nucl1310	1040	HAIR	36	cham_paŋ	56	tsʰ a m _ p a ŋ	
Lhasa Tibetan	tibe1272	1040	HAIR	36	ća⁵⁵	582	tsʲ a ⁵⁵	
Ao-Chungli	chon1286	1040	HAIR	36	ku	283	k u	Naga Ao
Ao-Mongsen	mong1332	1040	HAIR	36	kowa	283	k o w a	Naga Ao
Kusunda	kusu1250	1040	HAIR	27	ipi_gi	0	i p i _ g i	
Nishi	nisi1238	1277	HAND	37	alak	158	a l a k	Nisi?
Geker	geko1235	1277	HAND	37	ḍʒɨ⁵⁵_d̄ei⁵³	496	ɖʐ ɨ ⁵⁵ _ d̄ e i ⁵³	Geko Karen?
Geba	geba1237	1277	HAND	37	sɨ⁴⁴_khɔ⁴⁴	496	s ɨ ⁴⁴ _ kʰ ɔ ⁴⁴	
Lijiang-Naxi	lich1241	1277	HAND	37	la³¹	158	l a ³¹	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245
Jinuo	youl1235	1277	HAND	37	la⁵⁵_pu⁴⁴	158	l a ⁵⁵ _ p u ⁴⁴	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])
Motuo-M	dakp1242	1277	HAND	37	ga_daŋ	620	g a _ d a ŋ	Tawang Monpa, Dakpakha?
Sgaw	sgaw1245	1277	HAND	37	sɨ⁴⁴	496	s ɨ ⁴⁴	
Lhota	loth1237	1277	HAND	37	oːkhe	232	oː kʰ e	Naga Lotha
Tujia	nort2732	1277	HAND	37	ćie³	158	tsʲ i e ³	Northern Tujia [nort2732] & Southern Tujia [sout2739]
Yintale	yint1235	1277	HAND	37	dʒau⁵³	496	dʒ a u ⁵³	Yintale Karen
Hill-Miri	nyis1236	1277	HAND	37	alak	158	a l a k	
Pa'O	paok1235	1277	HAND	37	cu³³	496	ts u ³³	
W. Kayah	west2409	1277	HAND	37	təkhu¹¹	232	t ə kʰ u ¹¹	Kayah Western
Written Tibetan	tibe1272	1277	HAND	37	lag_pa	158	l a g _ p a	
Ninglang-Naxi	naxi1245	1277	HAND	37	lo³¹_khua³³	158	l o ³¹ _ kʰ u a ³³	belong to western Naxi, no glottolog entry so I use naxi1245.
Ao-Chungli	chon1286	1277	HAND	37	teka	232	t e k a	Naga Ao
Garo	garo1247	1277	HAND	37	jak	158	j a k	
Sherpa	sher1255	1277	HAND	37	lak→pɛ_LR	158	l a k + p ɛ	Solu-Khumbu Sherpa
Manu	manu1255	1277	HAND	37	khɔ⁴⁴_diɛ⁴⁴	232	kʰ ɔ ⁴⁴ _ d i ɛ ⁴⁴	Manumanaw Karen
Yeinbaw	yinb1236	1277	HAND	37	cə¹¹_de⁵⁵	496	ts ə ¹¹ _ d e ⁵⁵	Yinbaw Karen
Ao-Mongsen	mong1332	1277	HAND	37	tɨkhet	232	t ɨ kʰ e t	Naga Ao
Yimchunrü	yimc1240	1277	HAND	37	kha	232	kʰ a	Naga Yimchungru
Burmese	nucl1310	1277	HAND	37	lak	158	l a k	
Lhasa Tibetan	tibe1272	1277	HAND	37	lak¹³_pa⁵⁵	158	l a k ¹³ _ p a ⁵⁵	
Geba	geba1237	1277	HAND	37	sɨ⁴⁴_khɔ⁴⁴	232	s ɨ ⁴⁴ _ kʰ ɔ ⁴⁴	
Manu	manu1255	1277	HAND	37	khɔ⁴⁴_diɛ⁴⁴	232	kʰ ɔ ⁴⁴ _ d i ɛ ⁴⁴	Manumanaw Karen
Kusunda	kusu1250	1277	HAND	40	wi	0	w i	
Geker	geko1235	1256	HEAD	38	ku³³_kəoʔ⁵³	173	k u ³³ _ k ə o ʔ ⁵³	Geko Karen?
Geba	geba1237	1256	HEAD	38	koʔ⁵³	173	k o ʔ ⁵³	
Lijiang-Naxi	lich1241	1256	HEAD	38	ku³³_ly³³	227	k u ³³ _ l y ³³	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245
Jinuo	youl1235	1256	HEAD	38	vu⁴⁴_khɛ⁴⁴	227	v u ⁴⁴ _ kʰ ɛ ⁴⁴	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])
Motuo-M	dakp1242	1256	HEAD	38	śa_raŋ	478	sʲ a _ r a ŋ	Tawang Monpa, Dakpakha?
Sgaw	sgaw1245	1256	HEAD	38	khoʔ⁵³	283	kʰ o ʔ ⁵³	
Lhota	loth1237	1256	HEAD	38	ku→rrɨ	283	k u + r r ɨ	Naga Lotha
Tujia	nort2732	1256	HEAD	38	kho¹_pa¹	283	kʰ o ¹ _ p a ¹	Northern Tujia [nort2732] & Southern Tujia [sout2739]
